abacus n.算盘
mirth n.欢乐，欢笑
misanthrope n.厌恶人类的人,不愿与人来往者
misbehave v.v.(使)行为无礼貌,(使)行为不端
mischievous a.恶作剧的
misdemeanor n.不轨的行为,行为失检,品行不端
miser n.守财奴，吝啬鬼(a.Miserly)
misfortune n.恶运，不幸；不幸的事情，情况等
misgiving n.疑虑,怀疑
mishap n.不幸的事,不幸,灾祸
misnomer n.用词不当,[律](在诉讼中)写错姓名(地名)
misrepresent vt.误传,歪曲,曲解
mite n.极小量，螨虫
mitigate vt.使缓和;使镇静
mnemonics n.记忆术
mobility n.可动性,变动性,情感不定
mockery n.嘲弄,笑柄,蔑视
moderate a.温和的；适度的
modicum n.少量
molar n.臼齿,磨牙
molding (C)[常~s][建筑](装饰墙壁等凸出部用)嵌线
mollify vt.使平息
mollycoddle v.溺爱,娇养
molt vi.脱毛
momentous a.重要的,重大的
momentum n.势头;动量
monochromatic a.单色的,一色的
monopolize vt.垄断
monotone a.单调的
montage n.混成画,拼集的照片,蒙太奇
morass n.湿地
moratorium n.延期偿付,延期偿付期间
mordant a.讥讽的，尖酸的n.媒染剂,酸洗剂
moribund a.垂死的
morose adj.脾气坏的，不高兴的
mortar n.小臼，乳钵,迫击炮,迫击炮弹
mosquito n.蚊虫
motile a.能动的,有自动力的
motivate vt.激励,激发
motley a.杂色的,斑杂的,杂多的,混杂的
mottle v.使成杂色
mournful a.悲恸的,悲哀的,令人惋惜的
movement n.动作；活动；移动
muffle vt.捂住
mulish a.骡的,执拗的,杂种的
mumble v.v.喃喃而语,咕哝
mundane a.世俗的;世间的;平淡
municipality n.自治区,市当局,全市民
munificent a.慷慨的
mural a.墙壁的n.壁画
murky a.黑暗的，朦胧的,浑浊的
murmur n./v.低沉连续的声音;诉怨
mute v.减弱...的声音
myopic a.近视的
myriad n.极大数量;a.无数的
nadir n.最低点
nag v.不断地唠叨,恼人
naive a.天真的;幼稚的,轻信的
narcissism n.自我陶醉,自恋
nascent a.新生的，诞生中的
natty a.整洁的，漂亮的,潇洒的,灵巧的
nauseate vt.(使)恶心
naysayer n.否定者，怀疑主义者,反对者
nebulous a.模糊不清的，云状的
needy a.贫穷的,贫困的,生活艰苦的
nefarious a.违法的，邪恶的
negotiate vi.谈判,议定
neophyte n.初学者，新手
nepotism n.任人唯亲；裙带关系
nerve n.神经
nettle vt.激怒
neutralize vt.使中立;使无效
nibble vt./vi.啃,一点一点咬
nip v.夹，咬n.严寒
nitpicking a.挑剔的,吹毛求疵的
nocturnal a.夜间的
noisome a.恶臭的，令人不快的,有害的,讨厌的
nomad n.游牧部落的人,流浪者,游牧民
nominal a.名义上的,有名无实的;极微的;象征性的
nonchalant a.冷漠的，满不在乎的,无动于衷的
nondescript a.没有特征的，平凡的
nonentity n.不存在,非实在,虚无
nonflammable a.不燃烧的
nonplus n.窘境
nonsense n.废话，胡说；愚蠢的行为int.胡说，废话
notch n.(V字形)槽口,缺口
notwithstanding prep.尽管，虽然
novelty n.新奇
noxious a.有害的,有毒的
nuance n.(意义、意见、颜色)细微差别
nudge vt.用肘轻推
nurture n./vt.养育,教养,教育(儿童);培育;扶植,支持
oafish a.呆子的，白痴的
oasis n.(沙漠中的)绿洲
obdurate a.执拗的
obedient a.服从的,顺从的
obeisance n.鞠躬，敬礼
obfuscate v.使困惑，使迷惑
obituary n.讣告
obligatory a.(法律或道义上)必须的,应尽的
oblige v.迫使，责成；施恩于
oblique a.斜的,偏斜的;间接的,不直截了当的
obliterate vt.抹去
oblivious a.不在意的,忘却的
obloquy n.漫骂,毁谤
obscure a.不出名的,不重要的;费解的;模糊不清的;vt.使变模糊,掩盖
obsequious a.逢迎的
observatory n.天文台,气象台,了望台
obsess vt.使着迷;使烦扰
obsolete a.已废弃的,过时的
obstacle n.障碍，障碍物，妨害
obstinate a.顽固的,倔强的,不易屈服的,较难治愈的
obstreperous a.吵闹的，难管束的
obstruct vt.阻塞,堵塞;妨碍
obtuse a.钝的；迟钝的
obviate v.除去,排除,避免,预防
occlude v.使闭塞,封闭,关闭,逐出(a.occlude)
occult a.玄妙的
occurrence n.发生，出现；事件，事故，发生的事情
ode n.颂诗,赋
odious a.可憎的
offbeat a.不平常的，离奇的
offend v.冒犯，得罪，违反；使厌恶，使不舒服
offhand a.无准备的；随便的
officious a.好管闲事的
offish a.冷淡的
opaque a.不透光的,不透明的;难理解的
opera n.歌剧
opine v.v.想,以为
opportune a.合时宜的
oppose vt.反对,反抗
oppression n.压抑,沉闷,压迫手段
optimization n.最佳化
opulent a.繁茂的
oration n.演说
orchestra n.交响乐团
original a.最初的;新颖的n.创新
ornithology n.鸟类学,鸟学论文
orthodoxy n.正统说法,正教,信奉正教
ossify v.硬化，骨化,变得泥古不化
ostentatious a.装饰表面的,夸示的,华美的
ostracism n.贝壳流放,放逐,排斥
oust vt.驱赶,驱逐
outgoing a.友善的，即将离去的,友好的
outmaneuver v.以策略制胜,以机动性胜过
outwit vt.瞒骗,以智取胜
overdose n.配药量过多
overexposure a.过度暴露
overlap v.与…互搭,与…重叠;与…部分相同
oversee vt.监督,监管
overt a.公开的;明显的,公然的
overture n.提议,建议;序曲
overwhelm vt.(感情上)使受不了,使不知所措;征服,制服
overwrought a.过分劳累的,过度兴奋的
oxymoron n.矛盾修饰法
pachyderm n.厚皮类动物,迟钝的人
pacify vt.使镇静
pack vt.捆扎，打包；挤满n.包
pact n.协定,条约
padding n.垫充,垫塞,填料
paean n.欢乐歌,赞美歌
painstaking a.勤恳的;极小心的
palatable a.可口的,美味的;惬意的
palatial adj.宫殿般的，宏伟的
palette n.调色板,颜料
pall v.覆盖，使平淡无味
palliate vt.减轻
pallid a.苍白的
pallor n.苍白
palmy a.棕榈的,多棕榈的,繁荣的
palpable a.易察觉的
palter v.含糊其词,马虎处理,讨价还价,敷衍了事
paltry a.无价值的,微不足道的
pan n.平底锅
panache n.羽饰,夸示,假威风,炫耀
pandemonium n.混战场,喧哗吵闹,喧嚣,大混乱,大吵大闹
pander v.迎合
panegyric n.赞扬,夸大的颂词,推崇备至
panorama n.全景;全方位;整体效应
pantry n.食品柜，餐具室
parable n.寓言，比喻
paradigm n.示例
paradise n.天堂，极乐，致福一种愉悦的状态
paradox n.似非而是的论点;看似悖谬实则正确的观点
paragon n.模范
parallel a.平行的，类似的；并列的n.平行线；对比
paramount a.最高的,首要的
paranoia n.妄想狂,偏执狂;多疑症
paraphrase vt./n.释文,意译
parch vt.烤干
pariah n.贱民，被社会遗弃者
parity 平价，等价，比价，对等
parlance n.说法,语法,语调
parochial a.教区的,地方性的,狭小的
parody n.模仿,拙劣的模仿
parquetry n.镶木地板艺术或图案
parrot n.鹦鹉v.学舌
parry v.挡开，避开(武器，问题等)?
parse n./v.从语法上分析
parsimony n.吝啬
partiality n.偏袒，偏心
particularize v.v.详细说明,列举,大书特书
partisan n.党羽,同党的人,游击队员
passionate a.炽热的
pastiche (U)模仿(的手法);混成[拼凑]
patent n.专利证；专利；特许a.一目了然的；专利的
pathology n.病理学,病理,病状
patina n.绿锈，光亮的外表,物体年久而出现的光泽
patrician n.贵族
patriot n.爱国者，爱国主义者
patronize v.保护,支援,惠顾,庇护,赞助
paucity n.少数,少量,缺乏
paunchy a.大肚子的
pauper n.贫民,被救济者,穷人
pebble n.小圆石,小鹅卵石
peccadillo n.小过失
peck vi.啄
pedagogue n.教师,教育者,爱假装博学者
pedant n.炫学者,自夸学者的人,空谈家
pedestrian n.步行者
peep v.偷看，窥视n.一瞥，瞅一眼
peerless a.无匹敌的
peeve v.气恼，怨恨
pejorative a.贬低的
pelf n.钱财
pellucid adj.清晰的，清澈的
pen n.钢笔
penalty n.处罚,罚款
penchant (C)[对…的]强烈嗜好,偏好;倾向[for]
penetrate v.穿透，刺入；看穿；渗透，渗入
penitent a.悔过的
pensive a.沉思的
penury n.贫穷
perceptible a.可察觉的,能感觉得到的,看得见的
peremptory a.专横的，不容反抗的
perfervid a.非常热心的
perfidy n.不诚实,背信
perforate vt.穿孔
perfunctorily ad.敷衍地,潦草地,表面地
perimeter n.周边,周长,周界
peripatetic a.巡游的
peripheral a.边缘的，周边的
perjury n.伪证
permanence n.永久，持久
permeable a.可渗透的
pernicious a.致命的
perpetual a.永久的,永恒的
persecute vt.(尤指因宗教或政治信仰不同)迫害;烦扰
persevere vi.锲而不舍
persiflage n.挖苦，嘲弄
personable a.风度好的
perspective n.远景;观点
perspicacious a.独具慧眼的
perspicuity n.明晰,明了,简明
pertinacious a.顽固的(a.pertinacity)
perturb vt.使不安,烦扰
peruse v.细读
pervade vt.弥漫,遍及
pessimism n.悲观,悲观主义
pesticide n.杀虫剂,农药
pestle n.杵，乳钵槌
petition n.祈求,请求;请愿,请求书v.(向…)请愿,正式请求
petrography n.岩石记述学
petulance (U)发脾气,生气,易怒,暴躁,性急
phenomenal a.非凡的,出众的,庞大的
philanthropic a.博爱的
philistine n.庸人，市侩
philosophical a.哲学的,冷静的,哲学上的
phlegmatic a.冷漠的
photorespiration n.光呼吸作用
piddling a.无用的,琐屑的
piebald a.花斑的
pigment n.颜料,色素
pilfer vi.小偷小摸
pillar n.柱，柱子，支柱，台柱；栋梁
pillory n.颈手枷，示众，嘲弄
pilot n.飞行员
pine n.松树v.(因疾病等)憔悴，衰退
pinnacle n.尖塔,尖顶,山峰;(喻)顶峰
pinpoint vt.精确发现目标
piquant adj.辛辣的,开胃的
pithy a.有髓的,有力的,含蓄的
pitiless a.无情的,冷酷的,无怜悯心的
pittance n.少量的钱
placate vt.安抚
placebo n.安慰剂
plagiarize vt.剽窃,抄袭(别人学说、著作)
plangent adj.如泣如诉的,悲哀的
plantation n.种植园，大农场；植树造林
plateau n.高原;(上升后的)稳定水平(或时期、状态)
platonic a.柏拉图哲学的,柏拉图主义的,唯心的
plausible a.似乎有理的;嘴巧的,善于花言巧语的
playoff n.季后赛
pleat vt.使...打褶
plethora n.过量，过剩
pliable a.易弯的,柔韧的;易受影响的
pliant adj.易受影响的,易弯的
plight n.困境,苦境
plodding a.沉重缓慢的,单调乏味的
plot n.小块土地；计划，密谋；情节vt.密谋
pluck vi.扯，拉n.勇气
plumage n.鸟类羽毛,翅膀
plumb n.铅锤,测锤;vt.探测,查明
plummet vi.骤然跌落
plump a.圆胖的
plurality n.复数,较大数,许多,兼职
polarize v.v.(使)偏振,(使)极化,(使)两极分化
polemic n.争论，论战
polish n.波兰人；波兰语a.波兰(语)的；波兰人的
politic a.精明的,圆滑的,慎重的,策略的
pollster n.民意测验家
pollyanna n.盲目乐观的人
pompous a.自负的,夸大的
ponderable a.可秤的,有重量的,有价值的
ponderous a.沉重的,笨重的;(文章)冗长的
pontificate v.自大武断地做,装模作样的说话
porcelain n.瓷器
pore n.毛孔，气孔，细孔
porous a.多孔的,能渗透的
portentous a.前兆的,不吉的,自大的,奇怪的
portrait n.肖像,画像
poseur n.装模作样的人
posit v.假定,认为
posterity n.后代
postscript n.(略为P.S.)信件中附笔,附言
postulate v.假定,要求
posture n.姿态；地位
pot n.锅
potable a.适于饮用的
potentate n.有权的人,有势力的人,统治者
potentiate n.统治者，当权者v.赋与力量,加强
pout v.撅嘴,绷脸,生气
prairie n.大草原
prate v.唠唠叨叨的讲,闲聊,空谈
preach vt./vi.传教;讲道;劝诫;鼓吹
precarious a.不稳定的,不安全的
precedent n.先例,前例
precipice n.悬崖,峭壁
precipitate vt.猛然抛下;突然发生;加速;使沉淀;n.沉淀物
precipitation n.降雨量；急促
precipitous a.陡峭的；仓促的
preclude v.排除
precursor n.先驱者,前导,先进者
predecessor n.前任
preempt v.以先买权取得，取代
preen v.整理羽毛，(人)打扮修饰
preface n./v.序言；为...加序
pregnant a.怀孕的;意义深长的
prejudice n.偏见,成见,损害,侵害v.损害
preliminary a.初步的,开端的
premeditated a.预先想过的,预谋的,有计划的
preponderant a.以重胜的,优势的,压倒性的
prepossessing a.讨人欢喜的,有魅力的,给人好感的
preposterous a.荒谬的，可笑的
presage vt.预示
prescience n.先见
prescription n.吩咐；指示；规定；处方，药方
presentiment n.预感,预觉
preservative n.预防法,预防药,防腐剂
prestige n.威信，声望；(由于成功等而产生)显赫
presumptuous a.胆大妄为的
pretense n.借口,虚假,伪装
prevail vi.流行,盛行
prevalent a.普遍的,流行的
prevaricate v.支吾其辞,搪塞,撒谎
primordial a.原始的；初发的
principal a.主要的n.校长；资本
prissy a.谨小慎微的,神经质的,为小事挂虑的
pristine a.原来的,古时的,原始的,纯净的,无垢的
privilege n.特权，优惠，特许v.给予优惠，给予特权
probe n./v.医学探针;新闻调查;探测
probity n.正直
procrastinate v.耽搁，拖延
procure vt.(努力)取得;获得
prod vt.刺
prodigal a.挥霍的
prodigy n.惊人的事物,不凡的人,神童
profane a.渎神的,亵渎的;vt.亵渎,玷污
proffer v.献出，赠送，n.提议，建议
proficient a.精通的,熟练的
profligate a.挥金如土的，n.挥霍者
profusion n.丰富、大量、浪费
proliferate vi.增生
prolix adj.罗嗦的,冗长的
prolong vt.延长;拖延
prominent a.突起的；杰出的
promote vt.促进,提升；推销
propagate vt./vi.繁殖,增殖,传播,宣传
propensity n.癖好
prophetic a.预言的,先知的,预示的
propitiate v.慰抚,安抚,和解(a.propitiatory)
propitious a.顺利的,适合的,吉祥的,慈悲的
proposal n.建议;求婚
prosaic a.平淡的
proscribe v.(当作危险物而)禁止<习惯等>,排斥
prosecution 诉讼
prospect n.前景,前程；景色
prosperous a.成功的,繁荣的，昌盛的,顺利的,幸运的
prostrate a.拜倒的,降伏的,伏地的,沮丧的,衰竭的
protean a.千变万化的,变化不定的
protest vt.抗议vi.抗议,反对n.抗议
protocol n.礼仪,礼节,外交礼节
protract vt.延长,拖延
protuberant a.突起的,凸出的,显著的
provident a.有远见的
providential a.幸运的
provincial a.省的,地方的,偏狭的
provisional a.临时的,暂时性的
provoke vt.激怒
prowl v.潜行以觅食,徘徊
prude n.装成规矩的女人,过分正经的女人
prudent a.谨慎的
prudish a.装淑女样子的,装规矩的,过分规矩的
prune vt.修剪
pry vi.细查;探问
psychology n.心理学
pucker v.折叠
puckish a.爱恶作剧的,精灵似的,淘气的,顽皮的
puerile a.幼稚的，儿童的
puissance n.力,势,权力
pulchritude n.美丽
pullet n.小母鸡,小姑娘
pulverize v.研磨成粉,摧毁,粉碎
pun n.双关语
punch-line n.点睛之笔
punctilious a.精密细心的,一丝不苟的,拘泥形式的
pundit n.权威人士,专家
pungent a.刺鼻的,刺激性的
puny a.微小的,弱小的,微不足道的
purgatory n.灵魂的净化,涤罪,炼狱
purity n.纯净,纯洁
purlieu n.森林边缘地,常去的地方,范围,界限
purloin v.偷窃,盗取
pursue vt.追赶，追踪；追求
purvey v.(大量)供给，供应
pusillanimous a.懦弱的，胆小的
quaff v.一口气喝干,大口地喝
quail v.胆怯,畏缩n.鹌鹑
quaint a.古雅的;离奇的
qualified a.有资格的
quarantine n.隔离
quarry n.猎物;采石场
quash vt.平息
quell vt.平息
quench vt.止渴;扑灭火焰
querulous a.抱怨的
queue n.长队vi.排长队
quibble n.遁辞,谬论,双关话v.推托,诡辩
quiescent a.静止的,不活动的,寂静的
quip n.名言，讽刺语v.讽刺，嘲弄
quixotic a.不切实际的，空想的
quota n.配额，定额
quotidian adj.每日的，平凡的
rabble n.乌合之众，暴民，下等人
rabid a.猛烈的,热烈的,疯狂的,固执的,狂怒的
racketeer n.敲诈者,获取不正当钱财的人
raconteur n.善于讲故事的人
racy a.保持原味的,活泼的,生动的
raffish a.名誉不好的,无赖的,卑鄙的,艳俗的
raffle n.抽彩售货,废物
rafter n.椽,椽架屋顶,筏夫
rage n.狂怒，强烈欲望
ragged a.褴褛的,外形参差不齐的
ragtime n.拉格泰姆音乐(期间在美国流行的一种音乐)
rail n.铁路，铁轨
rakish a.轻快的,俏皮的,潇洒的,放荡的
ramble vi.漫步,闲逛;漫谈;蔓延
rambunctious a.粗暴的,难控制的,骚乱的
rampart n.垒,壁垒,城墙
ramshackle a.摇摇欲坠的
rancid a.腐臭的
rancor n.深仇，怨恨
range vi.变动，变化n.范围
ranger n.守林人,骑警,徘徊者
rank n.军衔vt.归类于
rankle v.(怨恨，失望等)难以释怀
rant v.咆哮,激昂地说
rapacious a.贪婪的
rapport n.融洽的关系
rapprochement (C)(指国与国间)建立或恢复友谊/和睦关系
rapt a.全神贯注的,入迷的,出神的
rash a.仓促的
raspy a.刺耳的,粗糙的,易怒的
ratify vt.批准
ratiocination n.推理,推论
ration n.配给量，定额vt.限定，配给
rationalize v.使合理,合理地处理,使成有理数
raucous a.沙哑的,粗声的,刺耳的
rave vi.胡言乱语;热衷谈论;n.热情赞扬
ravel v.散开,解除
ravenous a.饿极的；贪婪的
raze vt.铲平
reactant n.反应物
reactionary a.反动的
ream n.令,大量的纸
reaper n.收割者,收割机
reassure vt.使放心,使消除疑虑
rebuff n.拒绝
rebus n.谜,画谜
recalcitrant a.执拗的
recant v.撤消声明,放弃信仰或主张
recapitulate v.重述要点,概括,摘要
recessive a.退行的,逆行的,后退的,隐性的
recidivism n.累犯，重犯
reciprocate v.往复运动,互换,酬答
reckless a.不注意的,大意的,卤莽的,不顾后果的
recluse n.隐居者
recoil vt.退缩
reconcile v.对账,使和谐,使一致
recondite a.深奥的，难解的
reconnoiter v.侦察,勘查,勘测;观察,探究
reconstitute v.重新组成,重新设立
rectify vt.纠正,矫正;[化]精馏
rectitude n.诚实，正直
recuperate v.复原
redolent a.芬芳的芳香的
redoubtable adj.可敬畏的,可怕的,厉害的,著名的
redress vt.纠正
redundant a.多余的,过剩的
reel n.卷轴;旋转
refinery n.精炼厂，提炼厂
reflective a.反射的,反映的,熟虑的,反光
refractory adj.难驾驭的，(病)难治的
refugee n.难民
refulgent a.辉煌的,灿烂的
refute vt.驳斥，反驳，驳倒
regard vt.把…看作;尊敬n.敬意，问候
regenerate a.新生的,再生的
regime n.政体,政权
regimen n.养生法，生活规则
regression n.复原,逆行,退步,衰退,回归
rehabilitation n.复原
rehearsal n.排演,演习,预演,试演
reign vi./n.(君主)统治,存在,现存
rein n.缰绳v.驾驭，控制
reiterate vt.重申
rejoice vt./vi.欣喜,高兴
relapse n.复发
release vt.释放;发布
relentless a.不懈的
relevant a.有关的;中肯的
religion n.宗教信仰
relinquish vt.放弃;撤回
relish n.佐料；趣味
remiss a.怠慢的
remnant n.残余,剩余
remodel v.改造,改型,改变
remonstrance n.抗议，抱怨
remorse n.悔恨
remunerate v.给与报酬,赔偿,酬劳
rend v.撕裂，猛拉
renounce vt.与…脱离关系；放弃
renovate vt.革新
repartee n.机灵的回答
repatriate v.遣返;返回
repeal vt.废除
repel vt.击退,逐回,驱逐;排斥;使厌恶
repertoire n.全部剧目,保留剧目,全部技能
replete a.饱满的，塞满的
reportage n.报道,报道的消息,报告文学
repose n.休息；镇静
reprehensible a.应斥责的,应该谴责的
repressed a.被压抑的,被抑制的
reprieve n.缓刑,缓刑令,暂缓
reprimand n./v.训诫，谴责
reprisal n.报复
reproach vt./n.责备,指责
reprobate n.堕落的(人),恶棍
reproof n.斥责，责备
reprove vt.责骂
reptile n.爬行动物;爬虫
repudiate vt.否认
repugnant a.讨厌的；违反的
repulse v./n.驱逐，击退，厌恶
rescind vt.废除
resentment n.忿恨
reserved a.说话不多的,隐讳的,缄默的,性格孤独的,预定的,保留的
resign vt.放弃vi.辞职
resilience n.回弹,弹性;恢复力,适应力
resin n.树脂，松脂
resolute a.坚决的
resonant a.反响的,共鸣的
resourceful a.足智多谋的
respire v.呼吸
respite n.暂时的缓和；缓刑
resplendent adj.华丽的，辉煌的
responsive a.易于做出迅速反应的
restive a.不安静的,倔强,难以驾御(n.restiveness)
restless a.得不到休息的；不静止的，永不宁静的
restore vt.恢复,归还;修补，重建
restrain vt.克制；抑制，阻止
resurgence n.再起,复活,再现
resuscitate v.使复活，使苏醒
retainer n.家臣,扈从,保持者,保留金
retaliate vt.报复
retard vt.妨碍
reticent a.沉默寡言的,言不如意的
retinue n.侍从，随员
retort v./n.反驳,反击
retouch v.润饰,修正
retract vt.缩回
retreat vi.退却,撤退
retrench v.节省，削减
retrospective a.追想的，回顾的
revelry n.狂欢
revenge vt.报仇,报复
revere 尊崇
revise vt.修订(文字、书籍等)；修改，改变
revive v.(使)复苏；(使)重振活力；恢复生机；复兴
revoke vt.撤销
revue n.时事讽刺剧
rewarding a.有益的,有所得的,有报酬的
ribald a.说话猥亵的,下流的,卑贱的
rickety a.患佝偻病的,驼背的,摇摆的
rider n.骑手，骑车人
ridicule vt.嘲弄
rife a.流行的,盛传的,非常多的
rift n.裂缝；分裂
rigid a.僵硬的,不易弯的;严格的
rile v.搅浑浊,惹怒,使焦急
riot n.骚乱,暴乱
risible adj.可笑的，引人发笑的
rite n.仪式
rival n.竞争者a.竞争的
rive v.撕开,使沮丧
riveting a.动听的,令人着迷的,完全吸引某人注意力的
rivulet n.小河,小溪,溪流
robust a.强健的
rodent n.啮齿类动物(如鼠等)
roil v.搅浑，激怒
roster n.值勤表，花名册
rostrum n.讲坛,演讲坛
rosy a.美好的；乐观的；玫瑰色的
rouse vt./vi.唤醒，唤起；激励；激起
rubicund a.红润的,透红的
rudimentary a.基本的
rue n.后悔，遗憾.
ruffian n.流氓
ruffle vt./vi.扰乱,打扰
ruminate vi.沉思
rumple n.皱纹,皱褶
run vi.跑;运行vt.经营；操纵n.运行，运转
rupture n./v.破裂;割裂
rustic a.乡村的；粗野的
rustle vt.&vi.发出沙沙的声音
sabbatical a.安息日的,周期性休息的
sabotage n.故意毁坏,故意破坏,阴谋
saccharine a.<态度>娇媚的;<说话声>娇滴滴的
sacrifice vt.牺牲,献祭
sacrilege n.亵渎圣物,冒渎,悖理逆天的行为
saddle n.马鞍,鞍座,鞍状山脊
safeguard vt.保护,维护;n.预防措施
sagacious a.睿智的
salient adj.显著的，突出的
salmon n.鲑鱼,大马哈鱼,鲜肉色
salubrious a.有益健康的
salutary a.有益健康的
salutation n.招呼
salvage n.(从火灾及其他灾难中)抢救财物救助;废物利用
salve n.油膏
salvo n.保留条款，一阵,齐鸣
sanctify v.使神圣,奉献给神,使成为神圣之物
sanctimonious a.假装神圣的,假装虔诚的,假装诚实的
sanction n.国际制裁
sand n.沙子,沙滩
sanguine a.乐天的；红润的
sanitation n.卫生设备
sapient a.装聪明样的,聪明的,伶俐的,有见识的
sapling n.树苗,小树
sarcastic a.讽刺的,讥讽的,辛辣的
sartorial a.服装的,缝纫的
satiated a.充分满足的,[对…]厌倦的,生腻的[with]
satire n.讽刺
saturated a.饱和的,渗透的,深颜色的
saturnine a.忧郁的,沉默寡言的,阴沉的,感染铅毒的
saunter n./v.闲逛，漫步
savanna n.大草原
savory a.美味的
savvy n./v.理解能力,机智,悟性a.通情达理的
scale n.比例；规模
scalpel n.解剖刀,(外科用)小刀
scan v.细看,浏览,分析韵律,详细调查,扫描
scanty a.不足的
scarce a.缺乏的,不足的,稀有的,不充足的
scathing a.伤害的,损伤的,足致伤害的
schism n.分裂
scintillating adj.才气横溢的,闪闪发光的;闪烁的
scion n.幼芽,子孙
scoff vi.嘲笑
scooter n.(儿童玩的)滑行车,踏板车
scorch vt./vi.烧焦,烤焦,枯萎
score vt.得分；记分n.得分,成绩；二十
scorn n./v轻视,藐视strongdisrespect;contempt
scour v.擦,洗,急速穿行,腹泻,冲刷
scowl v.皱眉头,做出不高兴的脸
scrappy a.好斗的，生气勃勃的
scrawl vt.乱涂,潦草地写
screw v.调节,扭紧,旋,拧,加强,鼓舞,勒索,压榨
scribble vt.潦草地写
script n.手稿
scrupulous a.审慎的,小心翼翼的;完全的,纯粹的
scrutiny n.细察;调查
scuff n./v.拖着脚走,磨损
sculptor n.雕刻家
scurrilous a.说话粗鄙恶劣的,使用低级粗俗语言的
scurvy a.下流的,卑鄙的,无礼的n.坏血病
scythe n.长柄的大镰刀,战车镰
secluded a.隐退的,隐蔽的
secrete vt.藏匿；分泌
sedate a.文静的
sedentary a.坐的
seduce v.怂恿,瞒骗,引诱,诱奸
sedulous a.聚精会神的、勤勉的,孜孜不倦的
seemly a.合适的
seminal a.有创意的,种子的,生殖的
seminary n.学校,学院,发源地
sensation n.轰动
sensitive a.敏感的,灵敏的
sentinel n.哨兵,看守
sepulchral a.坟墓的，阴深的
sequela n.后继者,后遗症
sequester v.使隐退,使隔绝,扣押,没收
seraph n.[圣经]六翼天使
sere adj.干枯的，凋萎的n[.动植物的]演替系列
serendipity n.善于发掘新奇事物的天赋
serenity n.安静
serfdom n.农奴身份,农奴境遇
sermon n.布道
serpentine a.蜿蜒的
serrate a.锯齿状的
serried a.密集的,林立的,重重叠叠罗列的
servile a.奴性的
severe a.严厉的；严峻的
shackle vt.束缚
shadow n.阴影,影子
shaft n.矛;矿井;车辕;轴;光线
shale n.页岩,泥板岩
sham a.假装的
shard (C)(陶瓷器、瓦等的)破片,碎片
shelter n.掩蔽处vt.遮蔽，掩护
shiftless a.懒惰的
shirk 逃避
shopworn a.陈旧的
shrewd a.敏锐的,精明的;准确的
shrink vt./vi.收缩;退缩,畏缩
shrug n./v.耸肩
shun vt.避开
shunt v.使(火车)转到另一轨道，转移方向
shuttle n.梭,滑梭;vt.使穿梭般往返移动
sidereal a.恒星的
signal n.信号vi.发信号
simpleton n.笨蛋,傻子
simulate vt.假装;模仿;模拟
sin 罪
sincere a.诚实的,正直的,真挚的,纯净的
sinew n.肌肉,精力,腱,原动力,体力
singe vt.烤焦
singular a.非凡的；单数的；独一的，唯一的
sinister a.凶恶的；不祥的
sinuous a.蜿蜒的
sip vt.呷，啜
siren n.汽笛，警报器
skeptic n.怀疑者
sketchy a.粗略的
skimpy a.不足的；太紧的
skirt n.裙子；(pl.)边缘，周围，郊外
skit n.滑稽短剧
skittish a.<马等>容易受惊的,容易惊恐的
slant vi.倾斜；倾向
slate n.板岩,石板
slew v.(使)旋转，n.大量，许多
slight a.细长的;轻微的
slink v.偷偷走动
slippery a.滑溜的；狡猾的
slipshod a.粗心的，邋遢的
sloppy a.泥泞的；不整洁的
sloth n.怠惰,懒惰
slouch n.没精打采的样子,耷拉,笨人
sloven n.不修边幅的人
sluggish a.不活泼的，行动迟缓的，缓慢的
slumber n.睡眠
slur n.连音符,诽谤,耻辱,印刷模糊
sly a.偷偷的；狡黠的
smarmy a.令人厌烦的,爱说奉承话的
smart a.巧妙的,聪明的
smattering (C)一知半解,浅薄的知识;少量[of]
smirk v.假笑，得意地笑
smother vt.使窒息
smug a.自以为是的
smuggle v.走私；偷偷拿出(进)
snare n.陷阱
snarl n.咆哮；缠结
sneer vt.嘲笑
snob n.势利的人,假内行
snub v.冷落，不理睬
soak v.浸泡；使湿透n.浸泡，湿透
sober a.未醉的;严肃的;素淡的;v.(up)(使)醒酒;(使)清醒
sodden a.浑身湿透的,不成样子的,浸过酒的
solace n.安慰.慰藉
solder v.焊接，焊合
solemn a.庄严的；严肃的；(指承诺)真诚的，正式的
solicitous a.挂念的
solidify v.(使)凝固,(使)团结,巩固
solvent n.溶剂，溶媒a.有偿付能力的，不负债的
somber a.暗色的；黯然的
somnolence n.想睡;瞌睡;嗜睡
sonata n.奏鸣曲
sonnet n.十四行诗
soothe vt.缓和
sop n.贿赂
sophism n.诡辩
sophistication n.诡辩,强词夺理,久经世故，精明
sophomoric a.大学二年级学生的,一知半解的,傲慢的
soporific a.催眠的，n.安眠药
sordid a.污秽的；卑鄙的
sound n.响声vi.听起来a.健康的；正当的
sparse a.稀少的;稀疏的
spartan a.简朴的，刻苦的,斯巴达的n.斯巴达人,斯巴达公民
spat n.口角,,小争吵
spate n.泛滥,洪水,一阵,大量
specialize vi.专攻
specious adj.似是而非的，华而不实的
speck n.小点，斑点，少量
spectator n.观众,旁观者
spectrum n.光谱,系列
speculate vi.思索,沉思;投机
spendthrift n.浪费的人
