Africa n.非洲
milfoil ['milfɔil] n.[植]耆草属植物,西洋耆草
miliaria [,mili'ɛəriə] n.[医]栗疹,痱子
miliary ['miliəri] adj.栗粒状的
milieu [mi:'ljə] n.周围,环境
militancy ['milətənsi] n.战斗性,交战状态
militant ['milətənt] adj.好战的,积极从事或支持使用武力的
militarily ['militərili] adv.以武力,以军事行动
militarism ['militərizəm] n.职业军人的精神,军国主义
militarist ['militərist] n.军国主义者,军事家
militaristic [,militə'ristik] adj.军国主义的
militarize ['militəraiz] v.军事化
military ['militəri] adj.军事的,军用的
militate ['militeit] vi.产生作用或影响
militia [mi'liʃə] n.民兵
militiaman [mi'liʃəmən] n.民兵组织,全体民兵,(只在紧急情况下才召集的)国民军
milium ['miliəm] n.粟粒疹
milk [milk] n.乳,牛奶v.挤(奶)
milk-white adj.乳白色的
milkiness ['milkinis] n.乳状,乳白色,浑浊,软弱
milkmaid ['milkmeid] n.挤奶的妇女,在酪农场工作的女性
milkman ['milkmən] n.售奶工人,送奶工人
milksop ['milksɔp] n.懦弱的人
milkweed ['milkwi:d] n.乳草属植物
milkwort n.[植]远志
milky ['milki] adj.牛奶的,乳状的,乳白色的
mill [mil] n.压榨机,磨坊,磨粉机,工厂,制造厂vt.碾磨,磨细,搅拌,使乱转,打vi.乱转,被碾磨
millboard ['milbɔ:d] n.书面厚纸
milldam ['mildæm] n.水闸
mille <拉>n.千(主要用在per～一语中)
millenarian [,mili'nɛəriən] adj.一千年的
millenarianism [,mili'nɛəriənizəm] n.千福年说(传说耶稣将重临人世统治的一千
millenary ['milinəri] n.千,千年
millennia [mi'leniə] millennium的复数
millennial [mi'leniəl] adj.一千年的,千福年的
millennium [mi'leniəm] n.太平盛世,一千年
millepore ['milipɔ:] n.[动]多孔螅,千孔虫
miller ['milə] n.磨坊主,面粉厂主,碾磨工,铣工,[昆]蛾
millerite ['milərait] n.针镍矿
millesimal [mi'lesiməl] n.千分之一
millet ['milit] n.[植]稷,粟,黍的子实
milliard ['miljɑ:d] n.十亿
milliary ['miliɛəri] n.(=milestone)古罗马里程碑adj.古罗马里
millibar ['milibɑ:] n.[物]毫巴
millicurie ['mili,kjuəri] n.毫居里(千分之一居里)
millieme [mil'jem] n.米利姆(埃及和苏丹辅币名,1000米利姆=1
millifarad ['mili,færəd] n.[电]毫法(拉)(电容单位,=1\1000法(拉),
milligram ['miligræm] n.毫克
milligramme ['miligræm] n.毫克
millihenry n.[电]毫亨(利)(电感单位,=1\1000亨(利),
millilambert n.[物]毫朗伯(亮度单位,=1\1000朗伯,略作mL
milliliter ['mili,li:tə] n.千分之一公升,毫升
millimeter ['mili,mi:tə] n.毫米
millimetre ['mili,mi:tə] n.毫米
millimicron ['mili,maikrɔn] n.毫微米
milline ['mil,lain] 百万行(广告的计算单位)
milliner ['milinə] n.女帽制造及贩卖商
millinery ['milinəri] n.女帽类
milling ['miliŋ] n.磨,制粉,[机]轧齿边
million ['miljən] num.百万,百万个n.无数
millionaire [,miljən'ɛə] n.百万富翁,大富豪
millionfold ['miljənfəuld] adj.百万倍的adv.百万倍地
millionth ['miljənθ] n.第一百万,百万分之一
millipede ['milipi:d] n.[动](=millepede)倍足纲节动物
milliroentgen n.[核]毫伦琴
millisecond ['mili,sekənd] n.毫秒
millivolt ['milivəult] n.[电]毫伏(特)(=1\1000伏(特),略作mV或mv)
millpond ['milpɔnd] n.用水池,水车用贮水池,<谑>大西洋(尤指
millrace ['milreis] n.水车用的水流,引该水流的水沟
millstone ['milstəun] n.磨,磨石,粉碎器,重担
millstream ['milstri:m] n.水车用水流
millwright ['milrait] n.造水车木匠,技工
milo ['mailəu] 买罗高梁,西非高梁白[黄]穗芦粟
milometer n.里程表
milord [mi'lɔ:d] n.老爷,大人,英国绅士
milreis n.巴西的旧硬币或其货币单位,昔葡萄牙之一
milt [milt] n.(充满精液的)雄鱼生殖腺,(雄鱼的)精液,
mime [maim] n.笑剧v.模仿abbr.MultipurposeInternet
mimeograph ['mimiəgrɑ:f] n.油印机v.油印
mimesis [mai'mi:sis] n.模仿,拟态
mimetic [mi'metik] adj.模仿的,好模仿的,[生]拟态的,[晶]类似的
mimetism ['mimitizəm] [生]拟态[心理]模仿性
mimic ['mimik] adj.模仿的,假装的,[生]拟态的n.效颦者,
mimicry ['mimikri] n.模仿
mimosa [mi'məusə] n.[植]含羞草
mina ['mi:nə] n.古代希腊的金额单位,古代希腊的重量单位
minable ['mainəbl] adj.可开采的
minacity [mi'næsiti] n.威吓性,威胁性
minaret [,minə'ret] n.尖塔
minatory ['minətəri] adj.威胁的
mince [mins] v.切碎
mincemeat ['minsmi:t] n.苹果等切碎混拌碎肉的东西,甜馅
mincer ['minsə] n.碎肉器
mincing ['minsiŋ] adj.装腔作势的v.切碎
mind [maind] n.头脑,智力,精神,意见,情绪vi.介意,
minded ['maindid] adj.有...思想的
minder ['maində] n.看守者,照顾者
mindful adj.留心的,不忘的n.留心
mindless ['maindlis] adj.没头脑的,不用脑子的,愚笨无知的,粗
mine [main] n.矿,矿山,矿井,源泉,宝库,地雷,水雷vt.挖掘,开采,在...布雷,破坏vi.开矿,埋设地雷pron.我的
minefield ['mainfi:ld] n.1.布雷区2.充满隐伏危险的事物
minelayer ['main,leiə] n.[军]布雷舰(或飞机)
miner ['mainə] n.矿工
mineral ['minərəl] n.矿物,矿石
mineralogical [,minərə'lɔdʒikəl] adj.矿物学的
mineralogist [,minə'ælədʒist] n.矿物学者
mineralogy [,minə'rælədʒi] n.矿物学
minestrone [,mini'strəuni] n.(加蔬菜,大麦,通心粉等煮成的)蔬菜通心粉
minesweeper ['main,swi:pə] n.[军]扫雷艇
mingle ['miŋgl] v.(使)混合
mingy ['mindʒi] adj.吝啬的，小气的
mini ['mini] n.迷你型,袖珍型
miniature ['miniətʃə] n.缩小的模型,缩图,缩影adj.微型的,缩小的
miniaturist ['miniətʃərist] n.微型图画绘制者,微图画家
miniaturize ['miniətʃəraiz] vt.使小型化
minibar ['minibɑ:] 小型条信号(发生器)
minibus ['mini,bʌs] n.中客车,小型公共汽车(我国俗称面包车,乘员10人左右)
minicab n.微型出租汽车
minicam ['minikæm] (=miniaturecamera)小型照相机
minicom n.小型计算机
minicomputer ['minikəm,pju:tə] 小型机
minidisk 小型磁盘
minify ['minifai] v.缩小
minikin ['minikin] n.小东西adj.微小的,矫饰的
minim ['minim] n.半音符,半休止符,量滴,极小之物
minima ['minimə] n.minimum的复数
minimal ['minəməl] adj.最小的,最小限度的
minimalist ['minəməlist] n.最低限要求者,最低纲领主义者
minimally ['miniməli] adv.最低限度地,最低程度地
minimization [,minimai'zeiʃən] n.最小限度,最低额,轻视
minimize ['minəmaiz] vt.将...减到最少v.最小化
minimum ['miniməm] adj.最小的,最低的n.最小值,最小化
mining ['mainiŋ] n.采矿,矿业
minion ['minjən] n.奴才，低三下四之人
miniscule ['miniskju:l] adj.(=minuscule)草写小字的,小字的
miniskirt ['miniskə:t] n.迷你短裙,超短裙
minister ['ministə] n.部长,大臣
ministerial [,minis'tiriəl] adj.部的
ministrant ['ministrənt] adj.,服侍者的,辅佐者的n.服侍者,提供帮
ministration [,minis'treiʃən] n.帮助,服侍,服侍
ministry ['ministri] n.(政府的)部门
minitrack ['minətræk] n.以无线电控制的飞弹追踪系统
minium ['miniəm] n.朱红色,朱砂色
miniver ['minivə] n.白鼬(或银鼠)毛皮,<英方>[动]白鼬
mink [miŋk] n.[动]貂(尤指水貂),貂皮衣
minnesinger ['mini,siŋə] n.吟游诗人(或歌手)
minnow ['minəu] n.鲤科小鱼
minor ['mainə] n.未成年人,副修科目adj.较小的,次要的,
minority [mai'nɔ:riti] n.少数,少数民族
minster ['minstə] n.修道院附属的教堂,大教堂
minstrel ['minstrəl] n.吟游诗人(或歌手)
minstrelsy ['minstrəlsi] n.吟游技艺
mint [mint] n.薄荷,薄荷糖,造币厂,大量,来源v.铸造(硬币)
mintage ['mintidʒ] n.铸币,硬币,臆造
minty ['minti] adj.有薄荷香的，有薄荷味的
minuend ['minjuend] n.被减数
minuet [,minju'et] n.米奴哀小步舞,米奴哀小步舞曲
minus ['mainəs] adj.负的,减的prep.减去n.负数
minuscule ['minəskju:l] n.草写小字adj.用草写小字写的,极小的
minute ['minit] n.分,分钟,片刻,一瞬间,备忘录,笔记v
minutely ['minitli] adv.详细地,精密地
minuteman ['minitmæn] n.独立战争时立即应召的民兵
minutes 分钟
minutia [mai'nju:ʃiə] n.微枝末节，细节
minutiae [mai'nju:ʃii:] 
minx [miŋks] n.轻佻女子,风骚女子,<古>妓女,荡妇
miracle ['mirəkəl] n.奇迹,奇事
miraculous [mi'rækjuləs] adj.奇迹的,不可思议的
mirador [,mirə'dɔ:] n.(西班牙式房屋上可眺望优美景色的)塔楼,
mirage [mi'rɑ:ʒ] n.海市蜃楼,雾气,幻想,妄想
mire [maiə] n.泥潭v.陷入
mirk [mə:k] n.黝暗,阴郁
mirror ['mirə] n.镜子,真实反映情况的东西,典范vt.反映,映出n.DOS命令：在磁盘安全区域存贮根目录和文件分配表
mirth [mə:θ] n.欢笑,高兴
mirthful ['mə:θfəl] adj.愉快的,高兴的
miry ['maiəri] adj.泥泞的
misaddress 寄错(信件)
misadventure ['misəd'ventʃə] n.运气不佳的遭遇
misadvise ['misəd'vaiz] vt.给错误的劝告,误导
misalliance ['misə'laiəns] n.不适当的结合,不适当的婚姻
misanthrope ['mizənθrəup] n.厌恶人类的人,不愿与人来往者
misanthropic [,mizən'θrɔpik] adj.厌恶人类的,憎恶(或蔑视)世人的
misanthropist [mis'ænθrəpist] n.厌恶人类者,厌世者
misanthropy [mi'zænθrəpi] n.厌恶人类,不愿与人来往
misapplication ['mis,æpli'keiʃən] n.误用,滥用
misapply ['misə'plai] vt.误用,滥用
misapprehend ['mis,æpri'hend] vt.误会,误解
misapprehension ['mis,æpri'henʃən] n.误会,误解
misappropriate ['misə'prəuprieit] v.盗用
misarrange ['misə'reindʒ] vt.排错,作不适当的安排
misbecome ['misbi'kʌm] vt.不适宜于
misbegotten ['misbi,gɔtn] adj.私生的,非婚生的,靠非法手段获取的,
misbehave ['misbi'heiv] v.(使)行为无礼貌,(使)行为不端
misbehavior ['misbi'heivjə] n.不礼貌,品行不端
misbehaviour [,misbi'heivjə] n.不规矩行为,不正当举止,粗鲁行为
misbelief [,misbi'li:f] n.错误的信仰
misbelieve ['misbi'li:v] 不信,误信,信仰邪教,信邪说
misbeliever [,misbi'li:və] n.信仰错误者,信仰邪教者
misbirth n.流产,堕胎
misbrand vt.贴错标签,贴假商标于
miscalculate ['mis'kælkjuleit] vt.误算vi.算错
miscall [mis'kɔ:l] vt.叫错...的名字,误称
miscarriage [mis'kæridʒ] n.失败,误送,[医]流产
miscarry [mis'kæri] vi.失败,被误送,[医]流产
miscast [mis'kɑ:st] vt.指配不适当的角色,角色分配不适当
miscegenation [,misidʒi'neiʃən] n.(尤指美国白种人与非白种人的)种族(间)通
miscellanea [,misi'leiniə] n.杂记,杂录
miscellaneous [,misi'leinjəs] adj.各色各样混在一起,混杂的,多才多艺的
miscellanist [mi'selənist] n.<主英>杂文作家,杂录家
miscellany [mi'seləni] n.杂物,(miscellanies)杂录,杂记
mischance [mis'tʃæns] n.不幸,灾难
mischief ['mistʃif] n.伤害,危害,故障,恶作剧,淘气,调皮的人,损害
mischievous ['mistʃivəs] adj.有害的,恶作剧的,淘气的,为害
miscibility [,misi'biliti] n.可混和性
miscible ['misibl] adj.易混合的
miscommunication n.错误传达
misconceive ['miskən'si:v] v.误解
misconception ['miskən'sepʃən] n.误解
misconduct ['mis'kɔndʌkt] vt.处理不当,干坏事n.不正当的行为,明知故犯
misconstruction ['miskən'strʌkʃən] n.误解
misconstrue [,miskən'stru:] vt.误解,曲解
miscount ['mis'kaunt] v.数错n.计算错误
miscreant ['miskriənt] n.恶棍，歹徒
miscreate [,miskri'eit] 误造,误创,误作
miscue ['mis'kju:] n.撞歪,失误v.撞歪
misdate ['mis'deit] vt.填错日期n.填错的日期
misdeal ['mis'di:l] n.发错牌v.发错牌
misdeed ['mis'di:d] n.罪行,犯罪
misdeem vt.错认,判断错
misdemeanant [,misdi'mi:nənt] n.行为不端的人
misdemeanor [,misdi'mi:nə] n.<美>(misdemeanour)[律]轻罪,(与felony相对,英国1967年刑法条例已废除misdemeanour和felony之间的一切区别)
misdemeanour [,misdi'mi:nə] n.行为不端
misdirect ['misdi'rekt] vt.误导,写错地址
misdirection ['misdi'rekʃən] n.指示错误,写错
misdo ['mis'du:] vt.做错,做坏事
misdoubt [mis'daut] vt.怀疑,不信任,担心n.怀疑,疑虑
mise n.协定
miser ['maizə] n.守财奴,吝啬鬼,(石油工程上用的)凿井机
miserable ['mizərəbl] adj.痛苦的,悲惨的,可怜
miserably ['mizərəbli] adv.悲惨
miserere [,mizə'rɛəri] 椅突板
miserliness ['maizəlinis] n.吝啬,贪婪
miserly ['maizəli] adj.吝啬的,贪婪的
misery ['mizəri] n.痛苦,苦恼,悲惨,不幸,穷困
misesteem [,misis'ti:m] vt.误估,对...不尊重n.不尊重
misestimate [mis'estəmeit] n.错估
misfeasance [mis'fi:zəns] n.不法行为,不当行为
misfile vt.归错文挡
misfire [mis'faiə] v.不发火
misfit ['misfit] n.不称职的人,不适合的东西vt.与...不相称vi.不适合,不相称
misfortune [mis'fɔ:tʃən] n.不幸,灾祸
misgive [mis'giv] vi.疑虑vt.使怀疑
misgiving [mis'giviŋ] 疑惧,疑虑
misgivings n.疑虑,担忧,害怕
misgovern [,mis'gʌvən] vt.管理不当
misguide [mis'gaid] vt.误导
misguided [mis'gaidid] adj.被误导的
mishandle [mis'hændl] vt.粗鲁地对待(人或物),虐待,错误地处理,
mishap ['mis,hæp] n.灾祸
mishmash ['miʃmæʃ] n.混杂物vt.使成为杂乱的一堆
misinform [,misin'fɔ:m] vt.告诉错误的消息
misinformation [,misinfə'meiʃən] n.误报,误传
misinterpret ['misin'tə:prit] vt.曲解
misinterpretation [,misin,tə:pri'teiʃən] n.误译,曲解
misjoinder [mis'dʒɔində] n.[律]不合法的共同诉讼
misjudge ['mis'dʒʌdʒ] v.判断错
misjudgment [mis'dʒʌdʒmənt] n.判断错误,判断不公,估计错误
misknow [mis'nəu] vt.误解,认不出,认错
mislay [mis'lei] v.放错
mislead [mis'li:d] vt.误导
misleading [mis'li:diŋ] adj.易误解的,令人误解的
misleadingly [mis'li:diŋli] 引入歧途
misled [mis'led] vbl.mislead的过去式及过去分词
mislike [mis'laik] v.厌恶n.厌恶
mismanage ['mis'mænidʒ] vt.处置失当,办错
mismarriage ['mis'mæridʒ] n.不相配的婚姻
mismatch [,mis'mætʃ] vt.使配错,使配合不当n.错配,失谐
mismate vt.使配合不当
misname [mis'neim] vt.叫错...名字,给...取名不当
misnomer [,mis'nəumə] n.用词不当,[律](在诉讼等中)写错姓名(或地名)
miso 味噌,日本豆面酱
misogamist [mi'sɔgəmist] n.[心]厌恶结婚的人
misogamy [mi'sɔgəmi] n.[心]厌恶结婚
misogynic [,misə'dʒinik] adj.[心]厌女的,嫌忌女人的
misogynist [mai'sɔdʒinist] n.[心]厌恶女人的人
misogyny [mai'sɔdʒini] n.[心]厌恶女人
misology [mai'sɔlədʒi] n.[心]厌恶议论
misoneism [,misəu'ni:izəm] n.[心]厌新
misoneist n.[心]厌新者
misoperation 操作不当,失去平衡,误动作
misperceive vt.看错,误解
misplace [mis'pleis] vt.放错地方
misplay [mis'plei] n.失误,错误玩法,违反规则的玩法vt.失误
misprint [mis'print] v.印错n.印刷错误
misprision [mis'priʒən] n.[律](公职人员的)玩忽职守,渎职,包庇罪
misprize [mis'praiz] vt.轻视,蔑视
mispronounce [,misprə'nauns] v.发错音
misquotation [,miskwəu'teiʃən] n.错误的引用
misquote [mis'kwəut] v.错误地引用
misread [mis'ri:d] vt.读错,看错
misreading 读错
misreckon [mis'rekən] v.算错数错
misremember [,misri'membə] vt.记错
misreport ['misri'pɔ:t] vt误报；谎报
misrepresent [,misrepri'zent] vt.误传,不如实地叙述(或说明)vi.说假话
misrepresentation ['mis,reprizen'teiʃən] n.误传,误说
misrule [mis'ru:l] vt.施暴政n.暴政
miss [mis] n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中
missable adj.[高尔夫]可能打不进穴的
missal ['misl] n.弥撒用书
missend [,mis'send] vt.误寄,错递(邮件等)
misshape [mis'ʃeip] v.歪曲
misshapen [mis'ʃeipən] adj.奇形怪状的,畸形的
missile ['misail] n.导弹,发射物
missileer 导弹手,导弹设计[制造,发射]者
missileman ['misailmən] n.导弹设计者,发射者
missilery ['misailri] n.导弹,导弹技术
missing ['misiŋ] adj.不见的,缺少的
mission ['miʃən] n.使命,任务,使团,代表团
missionary ['miʃənəri] adj.传教的,传教士的n.传教士
missioner ['miʃənə] n.教区传教士
missive ['misiv] n.信件
misspell [mis'spel] vt.拼错
misspelling [mis'speliŋ] n.拼错
misspend [mis'spend] vt.浪费
misstate [mis'steit] vt.说错,作虚伪叙述
misstep [mis'step] n.失足
missus ['misəs] n.<口>(=missis)太太,妻子
missy ['misi] n.少女,小姑娘
mist [mist] n.薄雾
mistakable [mi'steikəbl] adj.易弄错的
mistake [mi'steik] n.错误,过失v.弄错,误解,把...误认为
mistake...for 将…误认为…
mistaken [mi'steikən] adj.犯错的,错误的
mister ['mistə] n.先生
misthink [mis'θiŋk] <古>vi.想错,认为不好vt.认为…不好
mistily ['mistili] adv.有雾地,朦胧地,不清楚地
mistime [mis'taim] vt.使不合时宜
mistimed adj.不合时机的
mistiness ['mistinis] n.雾,模糊,不清楚
mistletoe ['misltəu] n.槲寄生
mistook [mis'tuk] vbl.mistake的过去式,误会
mistral ['mistrəl] n.寒冷西北风
mistreat [mis'tri:t] vt.虐待
mistress ['mistris] n.主妇,女主人,女能人,情妇
mistrial [mis'traiəl] n.无效审判
mistrust [mis'trʌst] n.不信任,猜疑v.不信任,猜疑
mistrustful [,mis'trʌstfəl] adj.不信任的,深疑的
mistrustfully [mis'trʌstfuli] 多疑
mists n.史前时代
misty ['misti] adj.有薄雾的
misunderstand ['misʌndə'stænd] vt.误解,误会
misunderstanding ['misʌndə'stændiŋ] n.误会,误解
misunderstood ['misʌndə'stud] vbl.misunderstand的过去式和过去分词
misusage [,mis'ju:zidʒ] n.滥用,误用,虐待
misuse [mis'ju:z] v.误用,错用,滥用,虐待n.误用,错用,
misvalue 误估,低估
misventure n.不幸遭遇(或事件)倒霉灾难
miswrite [mis'rait] vt.写错,把…写得不当
mite [mait] n.极小量，小虫
miter ['maitə] n.主教法冠
mithridate n.(古代的)万应解毒剂
mithridatism n.(通过毒药服用剂量渐增而产生的)抗毒性
miticide ['maitəsaid] n.杀螨剂
mitigable ['mitigəbl] adj.可缓和的,可减轻的
mitigant ['mitigənt] adj.缓和的,减轻的
mitigate ['miti,geit] v.减轻
mitigation [,miti'geiʃən] n.缓解,减轻,平静
mitochondria [生]线粒体
mitosis [mi'təusis] n.有丝分裂,间接核分裂
mitrailleuse [,mitrai'ə:z] n.<法>老式机枪
mitral ['maitrəl] adj.礼冠的,僧帽状的
mitre ['maitə] n.主教法冠
mitt [mit] n.露指手套,棒球手套,拳击手套
mitten ['mitn] n.棒球手套,拳击手套
mittimus ['mitiməs] n.收押令,免职
mitzvah ['mitsvɑ:] n.戒律,德行
mix [miks] v.使混和,混淆,混合n.混合
mixed [mikst] v.混合adj.混合的
mixer ['miksə] 混频器n.混合者,搅拌器,[电]混频器
mixing ['miksiŋ] n.混合,混频
mixture ['mikstʃə] n.混合,混合物,混合剂
mizzen ['mizn] n.后桅
mnemonic [ni:'mɔnik] adj.记忆的,记忆术的
mnemonics [ni:'mɔniks] n.记忆术
moa ['məuə] n.恐鸟(一种新西兰无翼大鸟,现已灭绝)
moan [məun] n.呻吟,哀悼,呼啸vi.发出呻吟声,抱怨,哀悼vt.呻吟
moat [məut] n.护城河,城壕v.挖壕围绕
moated ['məutid] 
mob [mɔb] n.(集合词)暴徒,乌合之众,(盗贼等的)一群
mobbish ['mɔbiʃ] adj.暴徒似的,滋扰的
mobcap ['mɔbkæp] n.(18-19世纪早期的)室内头巾式女帽
mobile ['məubil] adj.可移动的,易变的,机动的n.运动物体
mobilise v.(=mobilize)动员,赋予可动性
mobility [məu'biliti] n.活动性,灵活性,迁移率,机动性
mobilization [,məubili'zeiʃən] n.动员
mobilize ['məubilaiz] v.动员
mobocracy [mɔ'bɔkrəsi] n.暴民统治,(作为统治阶级的)暴民
mobocrat ['mɔbəkræt] 暴民领袖支持暴民政治的人
mobster ['mɔbstə] n.<美俚>犯罪集团成员,匪徒,歹徒
moccasin ['mɔkəsn] n.鹿皮鞋,软拖鞋
mocha ['məukə] n.穆哈咖啡(上等咖啡)adj.用咖啡调味的
mock [mɔk] v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,
mocker ['mɔkə] n.嘲弄者,模仿者
mockery ['mɔkəri] n.嘲笑
mocking ['mɔkiŋ] 嘲笑的,愚弄的
mockingbird ['mɔkiŋbə:d] n.[鸟]嘲鸟(善鸣叫,并能模仿别种鸟的叫声,
mockingly ['mɔkiŋli] adv.愚弄地,取笑地
modacrylic [mɔdə'krilik] n.人造纤维之一种
modal ['məudl] adj.形式的,样式的,形态上的,情态的,语
modality [məu'dæliti] n.形式,形态,特征
mode [məud] n.方式,模式,样式,时尚n.DOS命令：完成有关在处理器和屏幕,打印机和键盘之间传递数据的各种功能
model ['mɔdl] n.样式,型,模范,典型,模型,原型,模特
modem n.[计]调制解调器n.调制解调器
moderate ['mɔdərit] adj.中等的,适度的,适中的v.缓和
moderation [,mɔdə'reiʃən] n.适度
moderato [,mɔdə'rɑ:təu] adj.中板的adv.[乐]中等速度地,中板地
moderator ['mɔdəreitə] n.调解人，仲裁人
moderatorship ['mɔdəreitəʃip] n.(会议等的)主席(或主持人)职权,仲裁(或调
modern ['mɔdən] n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的
modernisation [,mɔdənai'zeiʃən] n.<主英>=modernization
modernise ['mɔdənaiz] v.<主英>=modernize
modernism ['mɔdənizəm] n.现代风,现代主义,现代思想
modernist ['mɔdənist] n.现代主义者,现代人
modernistic [,mɔdə'nistik] adj.现代派的
modernity [mɔ'də:niti] n.现代性
modernization [,mɔdənai'zeiʃən] n.现代化
modernize v.使现代化
modest ['mɔdist] adj.谦虚的,谦让的,适度的
modestly ['mɑdistli] adv.谨慎地,适当地
modesty ['mɔdisti] n.谦逊,虚心
modicum ['mɔdikəm] n.少量
modifiable ['mɔdifaiəbl] adj.可更改的
modification [,mɔdifi'keiʃən] n.修改，修饰
modified 改良的,改进的,修正的
modifier ['mɔdifaiə] n.修正的人,改造者,[语]修饰语,修饰成分
modify ['mɔdifai] vt.更改,修改v.修改
modillion [məu'diljən] n.[建]飞檐托饰
modish ['məudiʃ] adj.流行的,时髦的
modiste [məu'di:st] n.经营女装或女帽店的人
modulability [,mɔdjulə'biliti] n.[无]调制能力(或本领)
modular ['mɔdjulə] adj.[数][物]模的,有标准组件的
modularization n.[计]模块化
modulate ['mɔdjuleit] vt.调整,调节,(信号)调制
modulation [,mɔdju'leiʃən] n.调制
modulator ['mɔdjuleitə] n.调节器
module ['mɔdju:l] n.模数,模块,登月舱,指令舱
modulo ['mɔdjuləu] prep.[数]以…为模
modulus ['mɔdjuləs] n.系数,模数
modus ['məudəs] n.方法,形式
mogul [məu'gʌl] n.显要人物；有权势的人
mohair ['məuhɛə] n.马海毛,安哥拉山羊毛,马海毛织物adj.
mohur 印度旧金币名(值15卢比)
moidore ['mɔ:idɔ:] n.从前的葡萄牙金币
moiety ['mɔiəti] n.二分之一,一部分,半族
moil [mɔil] vi.辛苦工作,作苦工n.辛苦的工作,混乱,
moist [mɔist] adj.潮湿的n.潮湿
moisten ['mɔisn] vt.弄湿vi.变潮湿
moistness ['mɔistnis] n.湿
moisture ['mɔistʃə] n.潮湿,湿气
moisturize ['mɔistʃəraiz] vi.变潮湿,增加水分vt.使增加水分
moke [məuk] n.<英俚>驴,笨人,<美俚><贬>黑人
mola [动]翻车鱼
molal ['məuləl] (重量)克分子的
molar ['məulə] adj.磨碎的,臼齿的,质量的,[化][物]摩尔
molasses [mə'læsiz] n.<美>糖蜜
mold [məuld] n.模子,铸型vt.浇铸,塑造
moldable ['məuldəbl] 可模压的适于模压的
moldboard ['məuldbɔ:d] n.犁板
molder ['məuldə] vi.腐朽,崩溃,分裂vt.使腐朽n.铸工,制
molding ['məuldiŋ] 成型
moldy ['məuldi] adj.发霉的,腐臭的
mole [məul] n.[医]胎块,[动]鼹鼠,防波堤,筑有防波堤的海港
molecular [mə'lekjələ] adj.[化]分子的,由分子组成的
molecule ['mɔlikju:l] n.[化]分子,些微
molecules ['mɔlikju:l] 分子
molehill ['məulhil] n.(由鼹鼠打洞扒出的泥土堆成的)鼹鼠丘,无
moleskin ['məulskin] n.鼹鼠毛皮,斜纹厚绒布
molest [mə'lest] vt.骚乱,困扰,调戏
molestation [,məuləs'teiʃən] n.骚扰,干扰,调戏
molester [mə'lestə] 烦恼
moline adj.(十字架)风车式的
moll [mɔl] n.盗贼或流氓的姘妇
mollification [,mɔlifi'keiʃən] n.缓和
mollify ['mɔlifai] v.平息
mollifying ['mɔlifaiiŋ] 使软化的,使缓和的抚慰的
mollusc ['mɔləsk] n.软体动物
molluscan [mɔ'lʌskən] adj.[动]软体动物的,似软体动物的
molluscoid [mɔ'lʌskɔid] adj.[动]软体动物似的,拟软体动物的n.拟
mollusk ['mɔləsk] n.[动]软体动物
molluskan adj.&n.<美>=molluscan
mollycoddle ['mɔli,kɔdl] n.娇惯的男人,懦夫vt.溺爱,娇生惯养
molt [məult] n.换毛,脱皮,换毛期v.脱毛,换毛
molten ['məultən] v.熔化adj.熔铸的
molto ['mɔltəu] adv.[乐]非常,甚
moly ['məuli] n.有白花和黑根的魔草
molybdenite [mə'libdənait] n.[矿]辉钼矿
molybdenum [mə'libdinəm] n.[化]钼
molybdic [mə'libdik] (正,三价,六价)钼的
molybdous adj.[化]亚钼的,二价钼的
mom [mɔm] n.妈妈
mome n.<古>傻瓜,笨蛋
moment ['məumənt] adj.片刻的,瞬间的,力矩的n.瞬间
momentarily ['məumən,terili] adv.即刻
momentariness ['məuməntərinis] 倾刻,瞬息
momentary ['məumənteri] adj.瞬间的,刹那间的
momently ['məuməntli] adv.片刻地,时时刻刻地,暂时地
momentous [məu'mentəs] adj.重大的,重要的
momentum [məu'mentəm] n.动力,要素
mommy ['mɔmi] n.妈咪
mon [苏][北英格兰]man的变体
monachal ['mɔnəkəl] adj.出家的,僧院的
monachism ['mɔnəkizəm] n.修道生活,出家生活
monad ['mɔnæd] n.[生]单孢体,单细胞生物
monadelphous [,mɔnə'delfəs] adj.单体雄蕊的
monadic [mɔ'nædik] adj.单孢体的,单细胞生物的
monadnock [mə'nædnɔk] n.[地]残留山丘
monandrous [mə'nændrəs] adj.一夫制的,[植]单雄蕊的
monandry [mə'nændri] n.一夫制,[植]单雄蕊式
monarch ['mɔnək] n.君主
monarchal [mə'nɑ:kəl] adj.国王的,帝王风度的
monarchical [mə'nɑ:kikl] adj.国王的,帝王的
monarchism ['mɔnəkizəm] n.君主主义,君主制主义
monarchist ['mɔnəkist] n.君主制主义者
monarchy ['mɔnəki] n.君主政体,君主政治,君主国
monarda n.[植]香蜂草
monasterial [,mɔnə'stiəriəl] adj.庙宇的,修道院的,僧侣的
monastery ['mɔnəs,teri] n.修道院,僧侣
monastic [mə'næstik] n.僧侣,修道士adj.庙宇的
monasticism [mə'næstisizəm] n.修道院生活,修道院制度
monatomic [,mɔnə'tɔmik] adj.[化]单原子的
