abase v.降低，羞辱
morose a.郁闷的；乖僻的
mortician n.殡仪业者
mortify v.侮辱；体罚
mosaic n.马赛克
mote n.小半点
motif n.主旨，本意；动机
motley a.多彩的，杂色的；混合的
mottled a.有斑点的；弄脏的
muddle v.迷惑的；搞乱了的，混淆了的
muggy a.又热又潮的（天气）
multifaceted a.多面的
multifarious a.多样的；各式各样的
multiform a.多态的
multilingual a.多语种的
multiplicity n.多样性
mundane a.世俗的；日常的
munificent a.宽宏大量的；慷慨大方的
mural n.壁画
murky a.暗的，模糊的，暧昧的
muse v.沉思
mushroom v.膨胀，迅速生长
musky a.麝香味儿的
muster v.收集；集合
musty a.陈腐的，变质的；时间长损失品质的
mutability n.变化能力
muted a.静默的；静音的
mutinous a.反抗的；暴动的
myopic a.鼠目寸光；缺乏远见
myriad n.无数，非常多
mystify v.迷惑，蛊惑
nadir n.谷底，最低点；天底
naivete n.天真烂漫的，简单的
narcissist n.自我陶醉的人；逞能的人
narrative a.解说的
nascent a.初生的
natty a.穿着整齐干净的
nauseate v.令人作呕的
nautical a.航海的
navigable a.可以通航的
nebulous a.暧昧的，混浊不清的
necromancy n.巫术，妖术，招魂术
nefarious a.十恶不舎?
negate v.拒绝，否定，取消
negligence n.疏忽，没能尽力的
negligible a.可忽略不计的
nemesis n.复仇的人；寻衅者
neologism n.新生词
neophyte n.新入教者；新信徒
nepotism n.偏袒的人（亲戚）
nettle v.烦恼；激怒；荨麻
neutral a.中型的；自然的；中庸的，公允的
nicety n.准确，精密
nihilist n.虚无主义者
nip v.夹，捏；剪断；阻止
nirvana n.涅磐
nocturnal a.夜的
noisome a.有害的，有毒的；恶臭的
nomadic a.游牧的
nomenclature n.命名法；术语学
nominal a.有名无实的，名存实亡的；名义上的
nonchalance n.冷淡
noncommittal a.不明朗的，不表态的；中庸的，未决的
nondescript a.普通的
nonentity n.不存在
nonplus v.使迷惑；使为难；混淆
nostalgia n.想家；乡愁
notable a.显著的；值得注意的
notoriety n.臭名昭著的
novelty n.新奇
novice n.新手
noxious a.有害的
nuance n.细微差别
nullify v.使无效
numismatist n.硬币收藏家
nuptial a.婚姻的
nurture v.养育；教育
nutrient n.营养品
oaf n.愚蠢的人
obdurate a.执拗的；顽固的
obese a.肥胖的
obfuscate v.迷惑，困惑；增加不必要的复杂性
obituary a.讣告
objective a.不为情所动的；公平的
objective n.目标
obligatory a.必须的
oblique a.间接的；倾斜的；无诚意的
obliterate v.彻底摧毁
oblivion n.遗忘；舎?
oblivious a.遗忘的；出神的
obnoxious a.讨厌的；冒犯的
obscure a.模糊的，不明了的，暗淡的
obscure v.使模糊；使暗淡
obsequious a.谄媚的；拍马屁的；奴性的
obsessive a.强迫性的，入迷的；出神的
obsolete a.过时的；无用的
obstetrician n.妇产科医师
obstinate a.坚定的，倔强的
obstreperous a.喧闹的，喧嚣的；任性的
obtrude v.插手，强入，冲出
obtuse a.钝的，迟钝的；愚蠢的
obviate v.消除；排除；避免
odious a.可恨的；可耻的
odium n.讨厌；憎恶
odorous a.有气味的
odyssey n.长期的冒险旅行
offensive a.攻击的；冒犯的
offhand a.即时的；随意的
officious a.多管闲事的
ogle v.抛媚眼；送秋波
olfactory a.嗅觉的
oligarchy n.寡头政治
ominous a.有威胁的；恶兆的
omnipotent a.无所不能的；全能的
omnipresent a.无所不在的
omniscient a.无所不知的
omnivorous a.无所不吃的；杂食的
onerous a.范忠德
onset n.开始，发作，肇端；攻击
onus n.负担；责任
opalescent a.乳白的
opaque a.暗的；不透明的
opiate n.鸦片剂；安眠的，止痛的
opportune a.世纪恰巧的；刚好的
opportunist n.机会主义者
optician n.眼镜商
optimist n.乐观者
optimum a.最优的
optional a.可选的
opulence n.奢华；巨富；富裕，富足
opus n.作品
oracular a.神一样的；谜一样的；超自然的
orator n.演讲者
ordain v.指定；规定；任命；命令
ordeal n.严酷的考验；折磨
ordinance n.法令；政令
ordination n.圣职授任；委任
orgy n.放荡，旷野；纵酒狂欢
orient v.确定方向；校准
orientation n.定位（在社会上）
ornate a.华丽的；过分装饰的
ornithologist n.鸟类学家
ornithology n.鸟类学
orthodox a.传统的；保守的
oscillate v.振荡
ossify v.硬化；骨化；化石化
ostensible a.显然的；虚假的
ostentatious a.卖弄的；企图惹人注意的；哗众取宠的
ostracize v.放逐
oust v.剥夺；驱逐
outlandish a.奇异的；偏僻的；前卫的
outmoded a.过时的
outskirts n.边界；郊区；外围
outspoken a.坦率直言的
outstrip v.超过
outwit v.欺骗；瞒骗
ovation n.热情洋溢的喝彩
overbearing a.傲慢专横的
overt a.明显的；公然的
overwrought a.歇斯底里的
pachyderm n.皮厚的动物（如大象）
pacifist n.和平主义者
pacify v.安抚；平静
pact n.和约；条约
paean n.欢乐歌；赞美歌
painstaking a.辛勤的
palatable a.可接受的；美味的
paleontology n.古生物学
palette n.调色板
pall v.厌烦，腻味
palliate v.减轻
pallid a.苍白的，惨淡的
palpable a.易于领会的；明显的
palpitate v.拍动；跳动；搏动
paltry a.不显著的；微小的
pan v.剧烈批评；猛烈抨击
panacea n.包治百病的药，灵丹妙药
panache n.华丽
pandemic a.广泛传播的，流行的
pandemonium n.喧嚣；混乱
pander v.低级趣味的；拉皮条
panegyric n.推崇之至
panoramic a.全景的
pantomime n.演哑剧
papyrus n.纸草；草纸（古代的）
parable n.寓言
paradigm n.典范；模式
paradox n.悖论；佯谬
paragon n.模范
parallelism n.平行状态；相似的
paramount a.极其重要的
paranoia n.妄想狂；偏执狂
paraphernalia n.琐碎的东西；零碎的随身物品
paraphrase v.解释；批注；注释
parasite n.寄生；寄生体
parched a.干旱的；干渴的
pariah n.贱民；被社会遗弃的人
parity n.相等；势均力敌；奇偶
parochial a.狭小的，地方的
parody n.拙劣的模仿
paroxysm n.突然一阵的，突发的（痛苦，笑，愤怒）
parry v.躲避
parsimony n.过度俭省；吝啬
partial a.不完善的；偏爱的
partiality n.倾向；偏见
partisan a.一边倒的
partition v.分裂开来
passive a.被动的
passport n.护照
pastiche n.摹写；模仿
pastoral a.田园的；乡下的
patent a.显而易见的；公开查阅的
pathetic a.可怜的，触动人心的
pathological a.病理学
pathos n.痛苦，悲怆，哀婉
patina n.铜绿；光泽；古色
patriarch n.长者，家长；酋长，族长
patrician a.贵族的
patronize v.资助；支持
paucity n.少量；缺乏
pauper n.叫花子；非常可怜的人
peccadillo n.轻罪，轻微冒犯
pecuniary a.钱的，货币的
pedagogy n.教育学
pedant n.学究式人物
pedantic a.书生气的
pedestrian a.没有想象力的，普通的
pediatrician n.儿科专家
peerless a.不可比较的，不相衡的，无可匹敌的
pejorative a.轻蔑；蔑视的
pellucid a.透明；清澈；明白的
penchant n.倾向；趣味
pendant n.装饰品；首饰
penitent a.悔过的
pensive a.沉思默想的；忧心忡忡的
penury n.一贫如洗；穷困潦倒
perceptive a.有洞察力的，警觉的；智慧的
percussion a.打击
perdition n.毁灭
peregrination n.旅程；旅行
peremptory a.专制的；强硬的，专横的
perennial n.终年的；永久的
perfidious a.背信弃义的；不忠的
perforate v.打孔
perfunctory a.肤浅的，不投入的；漠不关心的
perimeter n.周长
peripheral a.外围的
periphery n.（圆形的）边缘
perjury n.伪誓；伪证
permeable a.可渗透的，可学习的
permeate v.传播；流传
pernicious a.及具毁灭性的
perpetrate v.犯
perpetual a.永久的
perpetuate v.保护免于灭绝
perquisite n.津贴，补贴；奖金
persona n.角色
personable a.有吸引力的
perspicacious a.洞察一切的，渗透的；机敏的
pert a.爱管闲事的，无理的
pertinacious a.拒不屈服；反抗
pertinent a.说到点子上的；中肯的；有关的
perturb v.感到不安
peruse v.细读
pervasive a.深入人心的；普遍的
perverse ；硬脖子的
pessimism n.悲观主义者
petrify v.石化
petty a.微小的，不重要的
petulant a.脾气坏的
phenomena n.现象
philanderer n.调情；轻佻的人
philanthropist n.慈善家
philistine n.俗气的人，无教养的人；心胸狭窄的人
philology n.语言学
phlegmatic a.冷静的；平静的；不易被激起的
phobia n.恐怖
phoenix n.凤凰（象征不死和重生、涅磐）
phylum n.门；语群
physiological a.生理学的
picaresque a.以歹徒为题材的文学作品的
piebald a.花斑的；斑驳的
piecemeal ad.一次一个的，逐个的；渐渐的；碎的
pied a.杂色的；斑驳的
piety n.虔诚；孝行
pigment n.色素
pillage v.掠夺
pine v.消瘦，憔悴；渴望；松树
pinnacle n.顶尖；顶点
pious a.尽职的；虔诚的
piquant a.开胃的；辛辣的；刺激的；淘气顽皮的
pique n.愤怒；不满
pique v.激起，煽动；激怒
pitfall n.缺陷
pithy a.精炼的；抓住灵魂的
pittance n.微薄的薪水
pivotal a.关键的
placate v.安抚
placebo n.安慰剂
placid a.平静的
plagiarism n.剽窃
plagiarize v.剽窃
plaintive a.哀伤的
plasticity n.塑性
platitude n.陈词滥调
plaudit n.喝彩
plausible a.似是而非的
plenitude n.充分，富足
plethora n.过剩；过多
pliable a.圆滑的；柔韧的；易弯曲的
pliant a.顺从的
plight n.情况，状况；困境
plumb a.垂直；铅锤；用铅锤量
plumage n.鸟类的羽毛
plummet v.垂直落下
plutocracy n.富豪统治
podiatrist n.足病医生
podium n.指挥台；检阅台
poignancy n.强烈的；感人的；尖锐的
polarize v.极化；分化；两极分化
polemical a.辩论的，好辩的
politic a.精明的；明智的；诡计多端的；谨慎的
polygamist n.多配偶
polyglot a.多语言
pomposity n.夸大，华丽；浮夸；自大
ponderous a.沉重的；笨重的；呆板的；冗长的
pontifical a.教皇的；主教的
pore v.沉思；考察；深思熟虑；小孔，细口
porous a.筛子似的
portend v.预示
portent n.征兆
portly a.健壮的；肥胖的；魁梧的
poseur n.装模作样的人；邯郸学步
posterity n.子孙；后裔
posthumous a.身后的；遗腹的（孩子生于父亲死后）
postulate n.前提；基于的假定
potable a.可饮用的
potent a.有效的
potentate n.当权者
potential a.潜在的
potion n.剂量
practicable a.可行的
practical a.有用的；经验的；实践证明的
practitioner n.从业者
pragmatic a.实际的；注重实效的
pragmatist n.爱管闲事的人；实用主义者
prank n.胡闹；打扮
prate v.空谈
prattle v.闲聊；胡说；废话；唠叨
preamble n.导言；介绍词
precarious a.不确定的；冒风险
precedent n.先例
precept n.规则
precinct n.行政区
precipice n.悬崖；危险的位
precipitate a.匆忙的；突然的；未成熟的；草率的
precipitate v.下降；下坠
precipitous a.陡峭的；急躁的
precis n.大纲；摘要
precise a.精确的
preclude v.消灭；杜绝
precocious a.早熟的
precursor n.领跑者，先驱
predator n.捕食者
predecessor n.前任；前辈
predetermine v.预定；预先确定
predicament n.困境；危险的境地；两难
predilection n.偏爱；偏好
predispose v.预先安排，使其偏向于
preeminent a.出色的；出类拔萃的
preempt v.排挤，代替；阻止；抢占；先发制人
preen v.把自己打扮漂亮；鸟类用嘴梳理羽毛
prehensile a.可以得到的；可以抓住的
prelate n.高级教士
prelude n.序；先驱；先导
premeditate v.预谋，预先考虑
premise n.假定，假设；前提
premonition n.前兆
preposterous a.荒唐的
prerogative n.特权
presage v.预示
prescience n.预示能力
presentiment n.预感
prestige n.声望；威信
presumptuous a.自大；轻狂；专横
pretentious a.自命不凡；华而不实；自大
preternatural a.超自然的
pretext n.借口；托辞
prevail v.导致，促使；击败；盛行
prevalent a.普遍的；流行的
prevaricate v.撒谎；支吾，搪塞；糊弄
prey n.猎物；受害人，牺牲品
prim a.整洁的；精准的，精确的
primordial a.原始的；与时间同在的
primp v.打扮
pristine a.史前的；质朴的
privation n.困难，困苦；短缺，缺少
probe v.探测
problematic a.忧郁的；忧心忡忡的；心存疑虑的
proclivity n.倾向；自然倾向
procrastinate v.推迟；延期
prod v.刺；刺激；激励
prodigal a.浪费的
prodigious a.巨大的
prodigy n.奇才；天才
profane v.亵渎
profligate a.放荡的；放肆的；不检点的
profound a.深刻的
profusion n.过量；过剩
progenitor n.祖先
progeny n.后裔
prognosis n.预言；疾病警告
projectile n.发舐；导弹
proletarian n.无产阶级的；蓝领的
proliferation n.迅速增长，倍增；扩散
prolific a.多产的；丰富的
prolixity n.冗长的；啰嗦?
prologue n.序（诗歌，歌剧的）
prolong v.拖延
prominent a.显著的；突出的；卓越的
promiscuous a.随意混合的；打乱的；随便的
promontory n.岬；海角
promote v.提升；促进
prompt v.提示；鼓动；迅速及时的
promulgate v.发布；公布
prone a.倾向于
propagate v.迅速增长，传播，扩散
propellants n.推进剂
propensity n.自然倾向
prophetic a.预言的
propinquity n.亲近；血缘
propitiate v.劝解；平静；安抚
propitious a.吉利的；有利的
proponent n.支持者；建议者
propound v.提出
propriety n.适当
propulsive a.推进的；有推进力的
prosaic a.事实的；平淡的；缺乏想象力的
proscribe v.禁止
proselytize v.劝其改宗；改宗
prosperity n.繁荣；好运
prostrate v.弄倒；降伏
protean a.变化多端的
protege n.被保护人
protocol n.协议
prototype n.原型
protract v.延长
protrude v.突出
protuberance n.隆起；突出；瘤
provident a.有远见的
provincial a.省级的；视野不宽的；简单的
provisional a.临时的
provocative a.煽动的；刺激的；激怒的
provoke v.激怒；惹；煽动；挑起
prowess n.非常勇猛
proximity n.接近；亲近
proxy n.代理
prude n.规矩的人；正经人；故作正经的人
prudent a.谨慎的
prune v.切掉；修剪
prurient a.好色的；渴望的
pseudonym n.假名；笔名
psyche n.灵魂
pterodactyl n.翼龙
puerile a.幼稚的，孩子气的
pugilist n.拳击家
pugnacity n.好斗的
pulchritude n.美丽；标致
pulverize v.磨碎；粉碎
pummel v.用拳头打
punctilious a.谨小慎微的；一丝不苟的
pundit n.博学者；梵文学家
pungent a.刺激的；辛辣的；尖锐的
punitive a.惩罚的
puny a.不显著的；不明显的；细微的
purchase n.赢得；换得；努力争取得；购买
purge v.净化；清除；拉肚子
purported a.传说的；谣传的
purse v.折叠；褶皱；钱包；手提包（女式）
purveyor n.承办商
pusillanimous a.懦弱的；优柔寡断的
putrid a.恶臭的；腐烂的
pyromaniac n.纵火狂
quack n.骗子；吹嘘的人
quadruped n.四足动物
quaff v.一饮而尽
quagmire n.沼泽；湿地
quail v.懦弱；胆怯
quaint a.离奇古怪的；做的精巧的；过时的
qualified a.有资格的；有限制的；被限制的
qualms n.担心，害怕；担惊受怕；愧对良心
quandary n.两难的困境
quarantine n.隔离
quarry n.猎物；受害者
quarry v.挖掘出，寻找出
quay n.码头
queasy a.神经质的，洁癖的；易呕吐的
quell v.扑灭；镇压；平息
quench v.弄湿；扑灭；熄灭；淬火
querulous a.鸣不平的；易发牢骚的
query n.问询；质问
quibble n.遁词；狡辩；支吾；吹毛求疵
quiescent a.睡眠的；休息的；暂停活动的
quietude n.平静；宁静
quintessence n.精粹；精华
quip n.嘲弄；讽刺
quirk n.反复无常；怪僻
quiver v.振动的；颤抖的；敏捷的
quiver n.舐箭的
quixotic a.空想的；狂想的
quizzical a.古怪的；嘲弄的；令人好奇的
quorum n.法定人数
rabid a.狂暴的；激烈的
raconteur n.善谈的人；满肚子故事的人
rail v.责骂；斥责；咆哮
raiment n.衣服
rally v.复原，恢复；召集，集合
ramble v.游荡；漫无目的游荡
ramification n.分支；分叉
ramify v.分支；分开
ramp n.斜面；斜坡
rampant a.猖獗的；滋生的；猛烈的
ramshackle a.摇摆的；摇摇欲坠的
rancid a.油脂一样腐臭的
rancor n.苦难
random a.随机的
rankle v.激怒；溃烂；化脓
rant v.咆哮；激昂的演说；斥责
rapacious a.极度贪婪的；捕食的；掠夺的
rapport n.情感的亲近；和谐
rapt a.迷住的；全神贯注的
rarefied a.稀释（气体）
raspy a.刺耳的；焦躁的
ratify v.批准，认可
ratiocination n.推理；推论
rationale n.基础科学；基本原理
rationalize v.合理化
raucous a.沙哑的
rave n.咆哮
ravel v.使混乱；解开混乱，解决混乱
ravenous a.饥饿的
raze v.彻底摧毁
reactionary a.反作用的
realm n.领域
reaper n.收割者；收割机
rebuff v.回绝
rebuke v.严厉批评；猛烈的训斥
rebuttal n.驳斥；举反证
recalcitrant a.反抗的；顽抗的
recant v.放弃；宣布放弃
recapitulate v.概括；总结
recast v.重建
receptive a.善于接受的
recession n.撤退
recidivism n.累犯；惯犯
recipient n.接受的东西；容器
reciprocal a.互相的；互动的；互惠的
reciprocate v.互给；呼唤；酬答
recluse n.隐遁者；寂寞者
reconcile v.抛弃前嫌；不打不相识；结为好友
reconnaissance n.侦查
recount v.解说，告诉；重新数
recourse n.求助；求援
recrimination n.反责；反击
rectify v.纠正
rectitude n.垂直；正直；公正
recumbent a.靠着的；斜躺的；不动的；休息的
recuperate v.恢复
recurrent a.一遍又一遍发生的；循环发生的
redolent a.有味道的；有香味儿的
redoubtable a.可怕的
redress n.补偿；赔偿
redundant a.冗余的；多余的
reek v.散发（气味）
refraction n.（光线的）折舐，弯曲
refractory a.按不住的；不服气的；倔强的
refrain v.抵制；抵抗；远离，节制
refurbish v.刷新；修复；擦亮
refute v.反驳
regal a.皇家的
regale v.取悦，娱乐，享受
regime n.政体
regimen n.舏生?
rehabilitate v.恢复；复原
reimburse v.偿还
reiterate v.重申；重复
rejoinder n.反驳；回应
rejuvenate v.返老还童；青春重回
relegate v.指派；下放；贬
relent v.变宽厚；变温和
relevant a.有关的；相对的
relic n.纪念物；废墟，遗留
relinquish v.不情愿的屈服，放弃（某物）
relish v.品味；享受
remediable a.可挽回的
remedial a.治疗的，补救的
reminiscence n.怀旧；回想
remiss a.玩忽职守的，粗心大意的
remission n.减轻，缓解；宽恕
remnant n.残留物
remonstrance n.抗议
remorse n.懊悔，自责
remunerative a.有利益的；有报酬的
rend v.分开；撕开
render v.呈递；开账单；给予；还以；放弃；描绘
rendition n.表演，诠释；翻译
renegade n.变节者
renege v.食言；反悔；否认；翻供
renounce v.放弃；断绝关系
renovate v.革新；刷新；修复
renown n.名望
rent n.撕；裂口
reparable a.可修复的
reparation n.修订；弥补；补偿
repast n.餐；宴会
repeal v.废除；撤除
repel v.撤退；退却
repellent a.排斥的
repercussion n.反弹；弹回
repertoire n.节目表；保留节目
replenish v.补充
replete a.充满的；充足的
replica n.复制
replicate v.复制
repository n.仓库；知识库；智囊团
reprehensible a.应该谴责的
repress v.压迫；压制；压
reprieve n.暂缓；缓刑
reprimand v.谴责
reprisal n.报复
reprise n.年金；重奏；重复的行动
reproach v.表示失望；责备
reprobate n.有重罪的人；道德败坏的人，无耻的人
reprove v.责备
repudiate v.批判
repugnant a.不一致的；令人讨厌的
repulsion n.排斥；反驳
reputable a.著名的；令人尊敬的
reputed a.名誉好的；有名气的；名誉的
requiem n.安灵弥撒；安灵歌，挽歌
requisite n.必须品；必要的
requite v.报答；酬谢
rescind v.取消
resentment n.怨恨；愤恨
reserve n.自我控制；疏远
residue n.残留物；余额
resigned a.认命，顺从；听天由命
resilient a.弹性的
resolution n.坚定；决心；决定
resolve n.决心；解决
resolve v.决定；安排
resonant a.共鸣的
respiration n.呼吸；呼吸作用；呼气
respite n.暂缓
resplendent a.辉煌的；光辉的
responsiveness n.响应的
restitution n.归还；补偿
restive a.焦躁不安的；难以压抑的
restraint n.抑制；控制
resumption n.恢复；重新开始
resurge v.复活
retain v.保持；使用
retaliation n.报仇
retentive a.保持的；记性好的
reticence n.不动声色的；深藏不露的；沉默寡言的
retinue n.随行人员；扈从
retiring a.退休的；谦虚的，害羞的
retort n.反驳；曲颈甑
retract v.撤回，撤退
retrench v.裁减，削减；紧缩，节约
retribution n.复仇；补偿；惩罚
retrieve v.重新得到；找回
retroactive a.反动的；（法律）追溯的
retrograde v.倒退的
retrospective a.回顾的
revelry n.狂欢
reverent a.尊敬的；可敬的
reverie n.冥想；发呆；白日梦
revert v.回复；故态复萌
revile v.辱骂，谩骂，诽谤
revoke v.撤回；取消
revulsion n.剧变（情感的）；抽回；收手
rhapsodize v.狂热地描述；写狂想文，作狂想曲
rhetoric n.说话的学问；花言巧语
rhetorical a.修辞色彩的；花言巧语的
ribald a.下流的；放荡的；亵渎的
riddle v.打排孔；充斥；通过粗眼筛子过滤；谜语
rider n.附文；扶手
rife a.普遍的
rift n.裂缝；破口
rig v.配备；装备
rigid a.刚硬的；不屈的
rigor n.严格，苛刻；精确
rigorous a.严峻的；严格的；严厉的
rile v.激怒
riveting a.迷人的
rivulet n.小溪
robust a.健壮的
roil v.搅动（使水变浑）;激怒
roster n.列表
rostrum n.演讲台；讲道坛
rote n.生搬硬套；死记硬背
rotundity n.圆形，球状；洪亮的演讲
rousing a.活跃的；煽动的
rout v.吓跑；赶出；击退
rubble n.碎片
ruddy a.红的；红润的，白里透红的；健康的
rudimentary a.原始的；最初的；原来的
rue v.懊悔；后悔；感伤
ruffian n.流氓；恶棍；痞子
ruminate v.反复咀嚼；消化；深思；反刍
rummage v.到处翻寻
ruse n.技巧；策略，计谋
rustic a.乡村的；笨拙的，不舒服的
ruthless a.无情的
saboteur n.破坏分子；怠工者
saccharine a.糖精的；代糖的；极甜的
sacrilegious a.亵渎的，天谴的
sacrosanct a.非常神圣的
sadistic a.虐待狂的；残忍成性的
saga n.斯堪的纳维亚的传说；传奇
Sagacious a.有洞察力的
sage n.智者；圣人
salacious a.好色的；淫荡的
salient a.显著的；突出的；卓越的
salubrious a.对健康有益的，利于养生的
salutary a.有用的；有益的
salvage v.补救；抢救；打捞；营救
salvo n.解除武装；敬礼；保留条款
sanctimonious a.假正经的；假装神圣的
sanction v.批准，许可
sanctuary n.避难所
sanguine a.高兴的；有希望的；乐天的
sap v.减少；破坏
sarcasm n.挖苦；讽刺
sardonic a.讽刺的
sartorial a.裁缝的；缝纫机的；缝匠肌的
sate v.使心满意足；使过度满足；使腻
satellite n.卫星
satiate v.完全满足
satire n.讽刺的
satirical a.嘲弄的
saturate v.湿透
saturnine a.阴郁的
saunter v.漫步；闲逛
savant n.专家，学者
savor v.有滋有味儿的；享受这种滋味
savory a.有味道的；吸引人的
scabbard n.剑鞘
scad n.大批的，许多
scaffold n.脚手架；绞刑架
scale v.爬升；升高
scamp n.流氓，无赖
scanty a.缺乏的；稀疏的
scapegoat n.替罪羊
scavenge v.腐食；打扫
scenario n.情节；剧本大纲；（电影、歌剧）剧本
schematic a.示例的；示意性的
schism n.分离
scintillate v.迸出火花；发出闪烁
scoff v.嘲弄，奚落
scourge n.鞭笞；蹂躏
scruple v.踌躇；忧郁
scrupulous a.小心翼翼的；谨慎的
scrutinize v.明察
scuffle v.徘徊（思考问题）；混战
scurry v.轻快的；活泼的移动
scurvy a.下流的；卑鄙的，无理的；坏血病
scuttle v.迈着碎步轻快的走
scuttle v.沉没
seamy a.丑恶的；露出嘴脸的
seasoned a.老练的
secession n.撤退；脱离
seclusion n.隔离
secrete v.隐匿；藏匿；分泌
sectarian a.宗派主义的；地区主义的；狭窄的
secular a.世俗的；现世的；永久的
sedate a.安静的；稳重的；低沉的
sedentary a.久坐的；坐惯的
sedition n.抵抗当局；反抗；暴动
sedulous a.勤奋的；勤勤恳恳的
seedy a.破烂不堪的；褴褛的；不合适的
seemly a.适宜的，合适的
seep v.渗出；渗漏
seethe v.扰乱的；沸腾
seismic a.地震的
seminary n.神学院；学院；发祥地
sensual a.感官的；肉欲的；感官论的
sententious a.简洁的；警句式的，格言式的
sentinel n.哨兵
sequester v.隐退；隔离
serendipity n.有发现意外之财的运气
serenity n.平静
serrated a.锯齿状的
servile a.奴隶的；奴性的
servitude n.奴隶身份；苦工
sever v.切断
severity n.严肃；严格；激烈
shackle v.手铐；枷锁；脚镣
sham v.佯装；假的；赝品
shambles n.混乱的地方；肉铺
shard n.碎片（陶瓷的）
sheaf n.捆；扎（秸秆）
shear v.剪；修剪
sheathe v.插入鞘
sheer a.纯粹的；透明的；峻峭的；避开；偏航
shimmer v.微光
shirk v.逃避，推卸；避免
shoddy a.以次充好的；赝品
shrewd a.精明；敏锐
shroud v.裹尸；隐藏
shun v.避免
shyster n.讼棍；政界的奸诈之徒
sibling n.兄弟姐妹
simian a.像猴的
simile n.明喻；比较
simper v.痴笑；傻笑
Simplistic a.过分单纯化的
simulate v.模仿；冒充
sinecure n.闲职，报纸茶水的工作
sinewy a.结实；硬朗的
singular a.奇的；独一无二的
sinister a.邪恶的
sinuous a.蜿蜒的；弯曲复杂的；不老实的
skeptic n.怀疑论者
skiff n.小船
skimp v.节约的使用
skinflint n.守财奴；吝啬鬼
skirmish n.小规模战争；小打小闹
skulk v.偷懒；偷偷的移动
slacken v.放松；放慢
slag n.矿渣；炉渣；渣滓
slake v.结束；平息；消除；伺候舒服
slander n.诽谤
slapdash a.匆促的
sleeper n.睡眠；卧铺；枕木；冬眠的动物
sleight n.灵巧的
slight n.怠慢；斥责；侮辱
slipshod a.邋遢的；慢吞吞的；漫不经心的
slither v.滑动
slothful a.懒的
slough v.脱落；蜕皮
slovenly a.邋遢的；漫不经心的
sluggard n.懒人
sluggish a.行动迟缓的
slur v.模糊不清的说
slur n.诽谤；侮辱
smelt v.冶炼；精炼
smirk n.傻笑
smolder v.闷烧；随时准备爆发
snicker n.窃笑
snivel v.流鼻涕；啜泣；鼻子一把泪一把
sodden a.湿透的
sojourn n.逗留
solace n.安慰
solder v.焊接
solecism n.语法错误；谬误
solemnity n.严肃的；一本正经的
solicit v.恳求
solicitous a.担心的；关切的；期望的
soliloquy n.自言自语；独白
solitude n.独身
soluble a.可溶解的；可解决的
solvent a.有偿付能力的
somber a.阴森的；昏暗的；抑郁的
somnambulist n.梦游症患者
somnolent a.催眠的；半睡半醒的
sonorous a.醒目的
sophisticated a.世故的；复杂的
sophistry n.似真实假的
sophomoric a.一知半解的；不成熟的
soporific a.催眠的
sordid a.肮脏；卑鄙
sovereign a.君主的；至高无上的
spangle n.衣服上亮晶晶的小金属饰件
sparse a.稀少的；稀疏的
spartan a.刚毅的；朴素的；纪律严格的；斯巴达的
spasmodic a.断断续续的；间歇的
spat n.争论；口角；扇巴掌
spate n.爆发；大洪水；一大群的
spatial a.空间的
spatula n.压舌板；抹刀；批灰刀
spawn v.孵化；下蛋
specious a.似是而非的
spectrum n.光谱
spendthrift n.挥霍的人
sphinx-like a.谜的
splice v.绑定的；联合的
spontaneity n.自发的；自然的；无预谋的
sporadic a.零星的
sportive a.嬉戏的；玩闹的
spry a.充满生气的；活泼的；敏捷的
spurious a.伪造的，欺骗的
spurn v.放弃；拒绝
squabble n.争吵
squalor n.肮脏；悲惨；贫穷
squander v.浪费
squat a.矮壮的；又短又厚的；蹲着的
staccato a.断奏；断唱
stagnant a.静止的；单调的
staid a.沉静的；安静的
stalemate n.僵局
stalwart a.坚定的；强壮的
stamina n.毅力；意志力
stanch v.止血；血流变检测
stanza n.节；段落（诗的）；盘（棋的）
static a.静态的
statute n.法令；条例
steadfast a.坚定的；不渝的；忠诚的
stealth n.隐秘；隐藏；隐蔽行动
steep v.浸泡，弄湿；陡坡；悬崖
stellar a.星体的；恒星的
stem v.制止流出
from v.起因于
stereotype n.老套；一成不变；铅版
stifle v.使窒息；扑灭
stigma n.耻辱；耻辱的标记；柱头；气门
stigmatize v.打烙印；污蔑
stilted a.夸大的；充气的；虚胖的；踩高跷的
stint n.供应；分配；限量分配
stint v.紧缩，节省
stipend n.薪金；津贴
stipulate v.规定；明细化
stodgy a.乏味的；保守的
stoic n.坚忍克己之人
stoke v.填饱；司炉
stolid a.乏味的；单调的；冷漠的
stratagem n.计谋；战略
stratify v.分门别类；分类；分层
stratum n.地层；社会阶层
strew v.散开；随意散开；散播
striated a.有细条纹的
stricture n.责难；非难；限制
strident a.刺耳的；尖锐的；坚持不懈的
stringent a.严厉的；迫切的
strut n.大摇大摆；高视阔步
strut n.支柱
studied a.有计划的；故意的；有想法的
stultify v.使徒劳；使显得愚笨；拆台，办难堪
stupefy v.使麻木；使大吃一惊
stupor n.冷漠；漠不关心
stymie v.从中作梗；桩子；障碍物
suavity n.柔和；愉快；温和
subdued a.屈服的；柔和的；减弱的
subjective a.主观的；个人的
subjugate v.征服
sublime a.庄严的；崇高的；壮观的
subliminal a.低于极限的；下意识的
