vociferous 大声嚷叫的;大事声张的;喧嚷的,吵闹的,叫嚣的
surly 脾气坏的;乖戾的;不友好的
weary 疲倦的,疲劳的（尤指因费力或持久所致）;精疲力竭:
perturb 使（某人）烦恼、不安
furious 满腔愤怒的;大发雷霆的
tranquil 平静的;安静的;
stoic 斯多葛派人士（有高度自制力的人,能忍受困苦或不幸而无怨言或仍泰然自若）
ebullient 精力充沛的;洋溢的;奔放的
ambivalent 对某物,某人或某境况具有或显示矛盾情感的
servile 过分屈从的;缺乏独立性的
jocular 滑稽的;诙谐的:
melancholy 悲哀的;沮丧的
propitious 吉利的;有利的
resilient （指物体或材料）能复原的,弹性的,有弹力的.
pertinent 有关的;中肯的;恰当的
poignant 痛切的;伤心的;心酸的
susceptible 易受某事物影响或损害
visionary 具有或显示出远见或智慧的
vitriolic 深怀敌意的;恶意的:
doctrinaire 空谈理论的;教条主义的
restitution （物之）归还原主;（事物之）恢复原状:
suffrage （政治性选举的）选举权,投票权
solace 安慰;慰藉;给予安慰的事物
demographic 人口的；人口统计学的
qualitative 性质的;质量的;与性质或质量有关的
persevere 坚持做某事（尤指不畏困难
competence 胜任;能力;称职
acquiesce 默认;顺从;默许（一计划,结论等）
banality 平常话;陈词滥调
resign 放弃或辞去（工作、职位等）;辞职:
recant 宣布放弃（以前的意见、信仰等）
conformity 符合,依照（法规、习俗等）（的行为等
vestigial 残留的;退化的
prodigious 在体积、数量或程度上）大得令人惊叹;巨大的
invasvie 有扩散危害的;扩散性的;蔓延性的
kinetic 运动的;运动引起的
critisize 批评某人[某事物];挑剔;非难
stringdent （指法律、规则等）必须遵守的,严格的,严厉的
philanthropic 博爱的;慈善的;仁慈的
haphazard 无计画的;无秩序的;任意的
quarrelsome 爱争吵的;急脾气的.
polemical 辩论法的;争辩术的
acuiescent 默认的;顺从的
incantatory 咒语的,魔咒的
unstinting 慷慨的;大方的
evenhand 公平的,公平无私的
reveal 泄露；透露
pentalty 刑罚;处罚;惩罚
abridge 删节,节略（书等）
opposition 反对;敌对;相反;相对;抵抗;对抗
illuminate 照明,照亮,照射（某物）
cryptic 含有隐义的;晦涩难懂的;神秘的
unsettling 打扰（某事物[某人]）;使不安宁
nonchalant 不感兴趣的;不热心的;不激动的;漠不关心的:
perfuncatory （指行为）敷衍的,马虎的,例行的
culpable 应受责备的;难辞其咎的:
vocalize 说（话）;唱（歌）;发声
satirize 讽刺或讥讽（某人[某事物]）
adlib （尤指当众讲话及表演）未经事先准备的,即兴的,即席的
rehearse 排练（戏剧、乐曲等）;排演
extemporize 即席讲话;即兴表演:
rashly 令人不快的事物突然大量出现
unprincipled 不道德的;肆无忌惮的;不诚实的:
ethical 道德的;道德上的问题的
malfeasance （公务员等的）渎职，违法行为
redepmptive （用以）赎回的,补救的,偿还的.
temperance （在行为或饮食上）节制,自制,克己.
transgression 违法;违反道德;违犯戒律
foible （性格上的）小缺点,怪癖（通常为无伤大雅的）
explosive 爆炸性的;易爆炸的
fertile （指土地）肥沃的,富饶的
contemplative 好沉思的;深思熟虑的
sedentary （指工作）坐着做的
prepetuate 使（某事物）永久、永存或持续:
nomadic 游牧的生活方式、社会
dissolute 道德沦丧的;放荡的
relinquish 不再采取（某行动）;不再有（某种感觉）;放弃
unbounded 极大的抱负、好奇心、奢侈
escalate （使某事物）逐步增长或发展;（使某事物）更紧张
euphonious 悦耳的音调.
sympathetic 同情的;表示同情的;出于同情的
exasperation 愤怒;恼怒;恼火
commiseration 作可数名词时通常作复数,亦作不可数名词]
consternation 惊恐;惊愕;惊慌
veneration 敬重（某人[某事物]）;崇敬
contemporary 属于该时代或该时期的;属于同一时代的
substantive 真的;真实的;实在的;实际的:
parochial 偏狭的;狭隘的:
percede （在时间、顺序、行列等上）在（某事物）之前;先于（某事物）
resurgence 复苏的;复兴的;恢复生机或活力的
deter 使某人决定不做某事物
quarantine 进行检疫隔离
mishandle 粗暴处理或对待（某人[某物]）
endure 忍受;忍耐
misapplication 误用;滥用.
plethora 过量;过剩
obfuscate （故意）使（某事物）混乱或艰涩难懂
debilitate 使（人或人的身体）非常虚弱:
relevation 提高;被提高
forerunner 先驱者;开路人;先兆
circumspection 小心;谨慎:
munificence 慷慨;（礼物的）丰厚
antecedent 前事;前情
harbinger 预告者;先驱;前兆
depict 描绘（某人[某事物]）;描画
magnitude （通常指大的）量,大小
panoply （某物的）全部的或华丽的展示;气派;盛况.
sapte （生意等的）突然增多:
ruggedness 粗糙;不平;
omission 忽略;疏忽;省略;删除;遗漏;排除
extravagance 奢侈;挥霍
preternatural 超自然的;异乎寻常的;不可思议的
interminable 持续得过长的（通常指使人恼怒或厌烦
corroboration 进一步的证实（尤指另有来源的）;进一步的证据
spoof 滑稽的模仿:
genre 种类;类型
pitfall 意想不到的危险或困难:
denizen 长久生长于某地的人或动植物
